Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text,Keyword
ID18,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,09,21,persuade,A short DESCRIPTION of and REMARKS upon a new State called THE WESTERN TERRITORY being one of four settled by the Americans since 1774.THAT no nation can serve the Americans with goods equal in quality and price to Britain is wha the whole world knows and from experience the most obstinate rebel American dare not deny: It is with pleasure therefore we inform our readers that the United States are paying more attention to agriculture than to manufactures–They have already laid out four new States since the beginning of their rebellion viz. Vermont Kentucky Indiana and The Western Territory.About seventeen years ago Vermont was a wilderness; they only began to settle it about the year 1774. Kentucky ten years ago lay in forest wild; it was settled in 1780. Yet so rapid has been the population that there are not less than one hundred thousand inhabitants already in each of these states. The State of Indiana was only laid off this present year in 1789 and contains but two or three hundred inhabitants. From a description of these four States published in America in May last we give our readers a short abridged description of the last of them called The Western Territory; and it must rerejoice the heart of every Briton to read it and think that the settling of these countries though the Americans double their numbers every 15 or 20 years will long keep them from manufacturing and is every day opening a field for new customers to Great Britain; for who will work as a tradesman even though wages are very high when he can for twenty pounds purchase a thousand acres of land that being the present price fixed by Congress for lots of land in The Western Territory.–Hence the demand of our manufactures will continually increase with the increasing population of America.–Desponding politicians may derive comfort from the prospect that new channels of commerce will be opened and the inland parts of the Continent will require an increasing supply.–British manufactures will for ages ascend the great rivers of that Continent and by means of a most extraordinary inland navigation will be diffused through a country more fertile more extensive than all the Thirteen United States.The Western Territory Is the name given to this new State by Congress. It is bounded on the west by the Mississippi river –north by the Lakes–east by Pennsylvania? south and south-east by the Ohio river; contains according to Mr. Hutchins Geographer General to the Congress 411000 square miles equal to two hundred and sixty-three millions of acres from which he deducts forth-three millions of acres for water; there will then remain two hundred and twenty millions of acres belonging to the fed–ral government which is to be sold for the discharge of the debt owing to the United States. But a very small proportion of these lands is yet purchased of the native Indians and disposed of by Congress*.On the lands which have been purchased by Congress from the Indians two settlements are already commenced–one at Marietta the other at Miami.This State was only laid out by Congress in the end of the year 1787 and already contains above 8000 inhabitants. The principal rivers are the Mississippi Ohio Muskingham Hockhocking Sioto Miami Wobash&c–Coal and iron mines and salt pits abound in this State; the soil is excellent?as rich as can be imagined and may be reduced to yield plentiful crops with little or no labour. It is exceedingly healthy pleasant and commodious–the most fertile spot of earth known to the Europeans or Americans–exceeding the soil of any of the United States. The timber is tall and in great variety?Streams for mills abound here. Wheat indigo hemp and cotton thrive well. Many years will probably not escape before a good part of the country will be brought to that degree of cultivation that will exhibit all its latent beauties and fulfill the description of travellers who call it the garden of the world. It is here probably also that the center of a great empire will be fixed in some future period. It is the most centrical place for Congress to accommodate themselves at. No country is better stocked with wild game of every kind; herds of deers elks bears &c fill the extensive meadows of thie country?turkies geese swans and partridges &c. are innumerable. The rivers are excellently stored with fish and almost all navigable for small sloops.In the ordinance published by Congress for the government of this territory they are to be allowed an Assembly when their number amounts to 30000 persons; and when they acquire a certain degree of population they are to have representatives in Congress; and when fifty millions of acres are settled they are to be divided into States.Rejoice O Britons! that they must all be supplied with manufactures by you and you only!* No more than about twelve millions of acres have yet been purchased of the poor natives for which Congress gave them only eight thousand dollars value in goods and rum.,Native Americans 
ID23,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,10,09,inform,Albany Aug. 10.By a gentleman who arrived in this city on Friday last from the county of Ontario in the Genesee county (the territory lately ceded by this state to the commonwealth of Massachusetts) we are informed that four days before he left that county Colonel Brant from Niagara at the head of between 16 and 1800 of the principal Sachems and other Indians of the Six Nations had arrived at Conadoque the seat of Oliver Phelps Esq; on a visit of friendship and at the same time to receive the money due them for the lands sold to the company of Messrs. Gorham and Phelps–That they were met by Mr. Phelps and the principal inhabitants of Conadoque four miles from that place and conducted into town –That they were highly gratified with the treatment they received and with the manner in which they had disposed of their lands.–The gentleman further informs that there is now about 3000 inhabitants in the above county and that the land is of a good quality.,Native Americans 
ID28,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,11,23,inform,Extract of a letter from a gentleman in Danville(Kentucky) to his friend in BaltimoreIt is with great concern I communicate to you the following truly melancholy intelligence: –About three weeks ago Mr. Richard Chenoweth had six or eight men allowed him by the officer of the garrison at the Falls to guard his exposed plantation in Bear Crab Settlement below the Falls. In the evening of their arrival before they had taken their station as a guard a number of Indians rushed into Mr. Chenoweth's house killed two of the soldiers and three of Mr. Chenoweth's children and tomahawked and scalped his wife leaving her on the floor for dead– Mr. Chenoweth (who had his arm broke by the savages) with the rest of the men made their escape.–There was one of Mr. Chenoweth's children sick in a chamber and it is reported she never heard any thing of the dreadful massacre; but next morning crawling down stairs she was inexpressibly shocked at the sight of a beloved parent almost breathless–Mr. Chenoweth returned next day to his house and carried his wife to a neighbouring plantation where they are both likely to recover and what is remarkable she wants to return to her own house.–The savages have been very troublesome in this neighbourhood. –A small company are gone to White River to extirpate 80 or 90 Indians who as spies have informed have upwards of 300 horses &c. at that place.,Native Americans 
ID29,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,11,23,inform,Extract of a letter from a gentleman in Pittsburgh to his friend in Philadelphia dated Sept. 2.The Indians have killed six soldiers at the mouth of Little Sandy Creek below the Great Kanawa where the New Englanders were forming a settlement.,Native Americans 
ID46,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,18,inform,Extract of a letter from Philadelphia Aug. 23.Congress is still sitting at New York and from the multiplicity of business before them there is no likelihood of the session's soon closing. We are curious to know what foreigners will sayof our new commercial arrangements. Among ourselves there is but one opinion and that is faavourable. o our own vessels a preference is undoubtedly due; and among foreign vessels and merchandise there is no discrimination in our import and tonnage acts every nation being on the same footing. With respect to the duties themselves they could not be laid lower considering the demand of supplies which the Committee appointed to give in an estimate state at upwards of eight millions of dollars.Accustomed to disappointment in hopes of improvement in politics and commerce we feel a reluctance to entertaining very sanguine wishes. Yet appearances encourage the expecttion of the f–deral government's acting with the energy and effect that will give it respectability. The prejudices and animosities created by the late contest are gradually dying away ; and to the idleness and dissipation flowing from the same source industry has in a great degree succeeded. A progress has also been made in manufactures of various kinds that was not expected ; and the persevering in them affords a strong presumption of those concerned deriving advantage.Throughout the union the public opinion on matters of government has of late experienced rapid changes. Vice President Adams in his highly esteemed work has fully demonstrated the absurdity of democracy and the superior excellence of a mix form such as that of Britain. His deductions from premises admitted as just have abated much of the popular aversion to monarchy ; and as every thing matures quickly in our transatlantic soil it would not surprise many were United America to have a sovereign earin the next century.In no one instance has our new admnistration given general satisfaction more than in their conduct towards the Indians. The interests of those unfortunate people will be studiously attended to ; and they will be effectually protected against the lawless violence of the individuals or States who wished to wrest their lands from them. This determination is dictated by policy as well humanity ; for it is now become the interest of the States to check by every means short of violence the erratic disposition of their citizens who when removed to the wilds beyond the mountains cannot be regarded as of any value in a political view.,Native Americans 
ID62,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,01,04,inform,October 31. We are informed by very respectable authority that Mr. M'Gillvry has written to the President of the United States a full and sensible account of the rise and progress of the disputes subsisting between the Georgians; from which statement he expected to prove to a demonstration that he has not acted the inconsistent part which some have alleged neither has there been such cruelties committed by the Indians.From Mr. M'Gillevry's abilities and considering he was educated in Europe being the son of a Scotchman and Indian women we have no reason to expect any savage cruelties from an of his people; but on the contrary it is rather to be presumed that his proposals which are contained in his letter to the President are of a rational nature and many probably bring about a final and an advantageous treaty with the United States.,Native Americans 
ID68,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,07,09,inform,We have this day received Quebec newspapers down to the 24th May from which the following is extracted:–Quebec May 20.We hear late accounts from Niagara mention that the Indians in that quarter are much alarmed in consequence of a message said to be received by them from the States that they had now raised an army to take their own for Niagara and that two thousand men of that army were now on their way from New York–desiring the Indians to lye still and look on and that they would punish those that should interfere.It was also said that the people of New York were determined of themselves to lay open the post of Oswego and that emissaries had been employed to persuade the Indians they would be greatly benefited by that event.We are rather inclined to believe the Indians are too sensible of the great benefits already conferred upon them by our neighbours in buying their lands from them to think of accepting any more from that quarter and we would recommend it to the new-born Sovereignty on this side the Atlantic before they testify their impatience that national treaties like private agreements are not to be infringed by one and performed by the other party–Pay and you shall receive.[As to the Americans making an attempt upon Niagara they have long had it in contemplation to get possession of our posts upon the lakes in Canada.]May 24.The concerned in the ship Columbia and sloop Washington have received letters from the Captian Kendrick dated at Nootka in July last; he informs them that he passed the winter preceding on the north-west coast of America; that he was then bound on a voyage further northward and from thence intended to proceed to Canton.– The letters were forwarded to Mexico by a Spanish fleet that had been at Nootka and from thence to the Spanish Charge des Affaires at New York. They were covered to the President of the United States of America.[From what appeared in our paper of Friday last (see Glasgow Intelligence p. 424) and what is mentioned above it seems very probable that the affair of Nootka Sound had been a preconcerted scheme between the Americans and Spaniards as Capt. Kendrick addresses his dispatches for the President of the States without making the least mention (from what is made public) of any British ships being then at Nootka Sound.],Native Americans 
ID69,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,08,16,inform,By recent letters from America we learn that the Congress of the nited States after warm debates in both Houses particularly in that of the Representatives passed an act for the purpose of fixing permanently their seat of Government at German Town in Pennsylvania.The two new provinces in North America Kentucky and Vermont whose population already is so very considerable were formed by the vast numbers of inhabitants who fled from the destruction and ravages of the unhappy contest between Great Britain and her colonies and though the greatest part of them were then deemed loyalists yet they have now jooined the American confederation. Seated on the banks of the great river Mississippi far to the westward of all the other states they can either navigate northerly to the lakes or southerly to the Spanish settlements on the coasts of the Gulf of Mexico and carry on a lucrative trade with the Indians. They are possessed of as fertile a tract of country as any in the world the position of which they ??? also s???d by navigable rivers to Maryland Virginia and Pennsylvania and from thence as their views ???tend to every country in Europe. Thus from the most distressed situation to rise to opulence and independence ina few years must excite admiration.Agriculture at present seems to be the peculiar province of American industry from whence wealth will flow into every part of that vast country as it abounds in large tracts of rich land level grounds with a deep soil and extended savannahs; while to the northward the fisheries and shipbuilding amply compensate for the want of an equal fertility; and though not so abundant in coin yet the provinces produce the finest meadows form whence a provision trade will be every year increasing. The southern countries of Europe not affording sufficient crops of grain for the support of their inhabitants on account of the remarkable encrease of population and which is still augmenting as arts and manufacturers are every where extended: America may therefore be deemed in future the granary of this quarter of the globe.,Native Americans 
ID73,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,11,19,entertain,Court of Chancery. TheKing at the relation of theBishopofLondon versusAndersonandGipps.On the 18th of June 1692 the Hon. Mr. Boyle left by will the sum of 5400l. to be laid out in lands in Yorkshire out of the rents of which the sum of 90l. was to be paid annually to the College of William and Mary in New England to be applied for the purpose of propagating the Christian religion amongst the Indians in the back settlements in North America ; and likewise a further sum of 45l. to be paid to the same College for the support of two missionaries to preach the gospel. The city of London were left trustees and the management under the trust was by the will committed to the care of the Bishop of London. The present Bishop instituted this suit in which the city and a great number of other persons were parties for the single and indeed novel purpose of knowing whether (as the teststor had originally devised the several sums for the use of British subjects and the Americans having ceased to be in that situations since their independence) the annuity ought not to revert to this kingdom or to some other of his Majesty's colonies to be applied to similar purposes. This being the first determination of that nature since the American Revolution the Lord Chancellor decided it with that superior dignity of sentiment that always attends his decrees. Two phrases are sufficient– all charitable devices are to be held sacred– we cannot rake up the ashes of the dead in search of latent intentions. The annuities and arrears must be paid and Messrs. Anderson and Gipps and likewise the city of London must be paid their costs.,Native Americans 
ID80,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,11,26,inform,When the Cherokee Chiefs first visited Coventgarden Theatre one of them appeared much delighted with the splendid appearance of an Indian cap worn by one of the pantomime actors; this being observed the performer was directed the performance; the Chief amazed at the offer of the magnificent present said through his interpreter that even in his won country he should be unable to repay it ; however at present he would do the utmost in his power ; on this he ordered the actor to approach him and then lighting his Cherokee pipe stuffed with a variety of nauseous combustibles he too three whiffs himself and presenting the tube desired the actor to take three whiffs also–the greatest favour a Cherokee could confer ; the actor aastonished at the singularity of this unexpected honour reluctantly complied with the requestto the great entertainment of the Dramatic circle.,Native Americans 
