Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text,Keyword
ID3,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,01,05,inform,This morning some dispatches were received from Boston which were brought over in the Sally Capt. Walker from Liverpool. They are dated the 16th November and contain an account of the arrival of several ships from Newfoundland and some from Halifax; that provisions of all kinds were very plentiful and reasonable.,agriculture 
ID4,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,13,inform,Our latest accounts from the West Indies say that no supply from the islands either of wheat or flour can possibly be obtained from the American states in consequence of the great bounties given by his Most Christian Majesty on these articles. Our charity therefore if we have any of these articles to spare must be first extended to our own Colonies ; and we cannot be surprised particularly when we consider the present price of bread at home that no assistance can be given at present either to the French or Dutch.The crops in the island of Jamaica promise a most plentiful harvest except to the eastward which ahs generally been considered as the most productive part.By the Westmoreland just arrived from Jamaica we learn that the slaves have become mutinous to an alarming degree ever since they were made acquainted with the intended abolition of the Slave Trade.,agriculture 
ID5,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,20,inform,Extract of a letter from Quebec June 6.We are dreadfully alarmed at present on account of the great scarcity of flour throughout the province. Common flour sold this morning in the market at six dollars per cwt. bran from 7s. 6d. to 6s. oats 3s. per bushel and pease 20d. per bushel. There has been an account taken of the quantity of flour and wheat in this city and liberties by order of the Governor and Council and we find there is not more than will serve as ten days. They ar much worse off in the district of Montreal than we are here: We have sent them frequent supplies.Wheat which was found too bad to be shipped last year at three livres now sells at two dollars. One Merchant will make upwards of fifteen hundred pounds by this job.Government for the relief of the poor have caused to be issued by the contractor here rise at 3 d. per lb. no one to get more than a dollar's worth at a time. The day before yesterday there was delivered above a hundred pounds worth in this way.In consequence of letters by last Thursday's post from Montreal two thousand bushels of damaged wheat were shipped yesterday for that market. We have not had a grain of flour from England or the States though we hear of a cargo from New York for Montreal. The vessel was to call at New Brunswick ; and it is more than probably that people there being in great want themselves have detained her. The Government have done now what they should have done five or six months ago and then we should not be in this starving condition ; that is we are to have a proclamation to permit the importation of grain and flour from the States.My servant is just come home from the baker's where I had sent him for half a dollar's worth of bread. After watching for two hours till the bread came out of the overn he could get but eighteen-pennyworth ; three small loaves indeed weighing only two pounds each. Thirty-five shillings have been paid for ship biscuit. The Lord knows what will become of us–except Government will distribute some of the flour that is come for the troops in the Queen.Mr. Davidson one of the Council assured us on Thursday last there was not wheat and flourin the country for five weeks. He has taken a great deal of pains to be well informed on the subjuct; and to him are we indebted for the proclamation to allow the importation from the States. He stood forth alone and offered at his own expence to get an account taken of the quantities of wheat and flour in the town and liberties of Quebec and insisted on its being taken into consideration.,agriculture 
ID7,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,20,inform,Extract of a letter from a Gentleman in Bermuda to his friend in Norfolk Virginia dated April 2.By Captain Gilbert the bearer of this you will learn our distress for want of provi- sions: There has not been in the whole island one bushel of corn for sale for 16 days past. Capt. George from Baltimore brought in [?] days ago two bushels of corn which sold immeddiately at 6s. 8d. per bushel; he also brought in 360 barrels of flour common and superfine which sold at eight and nine dollars per barrel. No vessel has arrived here with provisions since Capt. George; and no vessel belonging to the island is expected to relieve us. A great number of poor people have been for ten days past obliged to live on the greens of the field. Governor Hamilton by advice of his counsel has opened the port of Bermuda to all foreign vessels whatever for thirty days to be computed from the 30th day of March laden with bread corn; or flour. He also allows for three months the importation of salted provisions from any foreign port whatever in vessels belonging to these islands. IT is said what if any foreign vessel should come here after the time permited by proclamation they will be allowed to dispose of their cargo if they can prove they set out with an intent to come here. If any vessels be ready to sail from Norfolk with provisions advise them to call at Bermuda.,agriculture 
ID18,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,09,21,persuade,A short DESCRIPTION of and REMARKS upon a new State called THE WESTERN TERRITORY being one of four settled by the Americans since 1774.THAT no nation can serve the Americans with goods equal in quality and price to Britain is wha the whole world knows and from experience the most obstinate rebel American dare not deny: It is with pleasure therefore we inform our readers that the United States are paying more attention to agriculture than to manufactures–They have already laid out four new States since the beginning of their rebellion viz. Vermont Kentucky Indiana and The Western Territory.About seventeen years ago Vermont was a wilderness; they only began to settle it about the year 1774. Kentucky ten years ago lay in forest wild; it was settled in 1780. Yet so rapid has been the population that there are not less than one hundred thousand inhabitants already in each of these states. The State of Indiana was only laid off this present year in 1789 and contains but two or three hundred inhabitants. From a description of these four States published in America in May last we give our readers a short abridged description of the last of them called The Western Territory; and it must rerejoice the heart of every Briton to read it and think that the settling of these countries though the Americans double their numbers every 15 or 20 years will long keep them from manufacturing and is every day opening a field for new customers to Great Britain; for who will work as a tradesman even though wages are very high when he can for twenty pounds purchase a thousand acres of land that being the present price fixed by Congress for lots of land in The Western Territory.–Hence the demand of our manufactures will continually increase with the increasing population of America.–Desponding politicians may derive comfort from the prospect that new channels of commerce will be opened and the inland parts of the Continent will require an increasing supply.–British manufactures will for ages ascend the great rivers of that Continent and by means of a most extraordinary inland navigation will be diffused through a country more fertile more extensive than all the Thirteen United States.The Western Territory Is the name given to this new State by Congress. It is bounded on the west by the Mississippi river –north by the Lakes–east by Pennsylvania? south and south-east by the Ohio river; contains according to Mr. Hutchins Geographer General to the Congress 411000 square miles equal to two hundred and sixty-three millions of acres from which he deducts forth-three millions of acres for water; there will then remain two hundred and twenty millions of acres belonging to the fed–ral government which is to be sold for the discharge of the debt owing to the United States. But a very small proportion of these lands is yet purchased of the native Indians and disposed of by Congress*.On the lands which have been purchased by Congress from the Indians two settlements are already commenced–one at Marietta the other at Miami.This State was only laid out by Congress in the end of the year 1787 and already contains above 8000 inhabitants. The principal rivers are the Mississippi Ohio Muskingham Hockhocking Sioto Miami Wobash&c–Coal and iron mines and salt pits abound in this State; the soil is excellent?as rich as can be imagined and may be reduced to yield plentiful crops with little or no labour. It is exceedingly healthy pleasant and commodious–the most fertile spot of earth known to the Europeans or Americans–exceeding the soil of any of the United States. The timber is tall and in great variety?Streams for mills abound here. Wheat indigo hemp and cotton thrive well. Many years will probably not escape before a good part of the country will be brought to that degree of cultivation that will exhibit all its latent beauties and fulfill the description of travellers who call it the garden of the world. It is here probably also that the center of a great empire will be fixed in some future period. It is the most centrical place for Congress to accommodate themselves at. No country is better stocked with wild game of every kind; herds of deers elks bears &c fill the extensive meadows of thie country?turkies geese swans and partridges &c. are innumerable. The rivers are excellently stored with fish and almost all navigable for small sloops.In the ordinance published by Congress for the government of this territory they are to be allowed an Assembly when their number amounts to 30000 persons; and when they acquire a certain degree of population they are to have representatives in Congress; and when fifty millions of acres are settled they are to be divided into States.Rejoice O Britons! that they must all be supplied with manufactures by you and you only!* No more than about twelve millions of acres have yet been purchased of the poor natives for which Congress gave them only eight thousand dollars value in goods and rum.,agriculture 
ID22,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,10,09,inform,Philadelphia Aug. 5.We are happy in informing our readers that in the memory of the oldest man among us a more plentiful year has not been known than the present. Neither mildew nor fly has affected the wheat; the grain is heavy and full and in large quantities. The other grains are likewise plentiful and of an excellent quality. Such distinguished favours call for the gratitude of the inhabitants of the United Sates to the great Author of Nature; especially when these blessings of nature are connected in the same year with deliverance from anarchy and with the establishment of a wise free and just government.,agriculture 
ID33,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,11,inform,Extract of a letter from a gentleman in America to his friend in Greenock.No doubt Sir you have been expecting this some time a remittance in money for your goods; but as part of them is still on hand I could not properly answer you in cash or bills ; however if you will accept of wheat in return it shall be immediately sent you ; for our wheat crop has been so plentiful that we can supply you with many thousand bolls of an eceeding fine quality ; and to my knowledge there are several ships loading for your market at present.,agriculture 
ID34,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,11,inform,The American Congress having declared it to be the interest of the United States to encourage agriculture by the cultivation of large plantations and to purchase their merchandize from Europe have in consequence considerably lowered the duties on such merchandize.They have also resolved to sell four or five millions of acres of land instead of two millions which they sold annually in the States; the produce of which will son suffice to prevent the necessity of circulating paper money any longer.,agriculture 
ID36,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,14,inform,Orders are sent to Plymouth for the Echo sloop of war Capt. Drew lately arrived from Newfoundland and now lying in the Sound to get ready for sea and proceed with all possible dispatch to New York–to acquaint the American Merchants that the British ports are open for the importation of American wheat :–It is to be hoped this salutary measure will reduce the present high price of wheat and flour.,agriculture 
ID44,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,18,inform,Advices from Baltimore in Maryland say that all the wheat and flour that could be purchased was actually contracted for throughout that fertile province on the 10th of October last for the French market and it was thought the same man–uvre had taken place at New York Philadelphia and Rhode Island.,agriculture 
ID51,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,25,inform,By letters from America dated the 5th ult. we learn that wheat is so great a crop all over the Provinces that it has fallen at Virginia to [?] a bushel. At Philadelphia it is 7s. 6d. paper currency about 3s. 8d. Sterling per bushel;–which has reduced the price in France in from 48s. to 42s. 2d. and it is 20s. per quarter lower in Holland than it was four months ago.Two ships laden with American wheat have already arrived at Bristol where the cargoes were immediately purchased by the dealers. Large orders are sent to America for wheat of which there has been a prodigious crop.,agriculture 
ID52,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,25,inform,The Americans have refused every kind of supply of grain to the French without the ready money. M. de Mirabeau's scheme of receiving the debt of the United States due to France proves an abortion.,agriculture 
ID55,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,07,inform,In consequence of the order of the Privy council the merchants of Bristol have sent large orders to America for wheat where the crop has been the greatest ever known.,agriculture 
ID71,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,10,04,inform,Extract of a letter from New York Aug. 3.Our harvest is over westward and through the southern counties of this State. This week will finish it in the northern and I am confident we have not had so fine a crop since 1774 and all gathered without a drop of rain which will render wheat fit for exportation in OCtober. The Summer grains are also abundant and those on the ground especially Indian corn equally promising. Should Europe require wheat at even two thirds of the prices given last year we shall draw a very large balance from them in specie.The public debt of this country having in course of a few days been funded brought many foreigners into deep speculations which reduced bills of exchange to par.,agriculture 
ID78,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,11,26,inform,By letters from the New York Packet dated October 6 from Philadelphia we learn that there has been a very fine harvest in the Southern States and that the wheat has been wonderfully productive. A very large quantity had been bought up for the Spanish markets. The quality of European goods imported the last season was immense goods selling for considerable loss ; and such will always be the case when the Merchants in England anticipate a ray of fruitfulness of the American Soil.–The appearance of a Spanish war had given them great prospects of commercial advantages and a seven years war is what the Americans were all earnestly wishing for.,agriculture 
ID102,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1802,07,01,inform,New South WalesThe following particulars respecting this flourishing colony will not be unacceptable to our readers :–We are informed by Lieutenant Grant who is lately arrived from New South Wales of the flourishing state of that colony ; he left Port Jackson in November last when the crops were very luxuriant and beginning to be cut down without having suffered that year from the floods.Governor King had opened a communication with Otaheite for the purpose of supplying the colony with pork in which he had been singularly successful his Majesty's armed ship Porpoise having made one trip and the Norfolk brig having sailed on the same employ previous to Mr Grant's leaving Sydney.The most friendly understanding exists between the natives of Otaheite and the settlement of New South Wales. We are happy to hear that the latter country is longer in want of a staple commodity the article of coals of an excellent kind being found in abundance in Hunter's River together with plenty of wood well qualified for the masting of shipping. Mr Grant made his passage to the Cape of Good Hope round Cape Horn in the brig Anna Josepha loaded with spars for masts and coals which latter sold immediately at the Cape at 36 rix dollars per ton (nearly 6l. sterling.)Governor King had formed a small settlement at Hunter's River for the purpose of working the coal which is of the same nature with that of Newcastle.Mr Grant entered this river in the Lady Nelson in order to obtain the survey of it. He penetrated in his boats nearly seventy miles up the same accompanied by Lieutenant Colonel Paterson without being able at that time to discover its source. A wood resembling sustic had also been found.Mr Grant in his passage from England to Port Jackson in the Lady Nelson a vessel of only 60 tons burthen with three sliding keels and built on Captain Schank's construction was the first that passed through the straits which separate Van Diemens Land from New Holland and sailed along a great extent of coast to the westward of any land before seen by those who had visited that country going into no higher latitude than 39. 30. fourth ; and observes that the fourth cape of New Holland lies in 39. 2. fourth. He found those he sailed along bold with very deep water wherever he attempted to land ; and in general he had with a very moderate offing from 50 10 45 and 30 fathoms water fine land and sometimes shells.By order of Governor King he returned into those straits and obtained the survey of the coast from Wilson's Promontory to Western Port with the survey of that harbour which is well sheltered and capable of containing many sail of shipping. There is abundance of wood easily to be got and plenty of water ; though the latter is rather difficult to be procured on account of the distance and from several shoals lying in the way which render it necessary to take advantage of tide. Mr Grant gives a very favourable report of that part of the country.,agriculture 
