Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text,Keyword
ID13,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,28,inform,Extract of a letter form Philadelphia dated 25th May 1789.I have travelled through several of the States and see no appearance of the poverty which you hear so much boast of in Britain–every where I meet rather with extravagance. Indeed they procure too easily to be frugal in their out-givings. All the manufactured goods imported from Europe are from Britain and they cannot have goods equal in quality and price from any other place.I think I never say so many children as are in this country every town village and farm-house are full of them.–The people of this country increase like rabbits: It is supposed they double their numbers every fifteen years; but I should think they do it in a shorter period.–What a grand prospect for the sale of British goods for when so many hundreds of millions of acres of land lye [sic] idle to be granted or purchased at a small price the people of this country never will manufacture ; At present wages are high and 1000 acres of land in the back settlements may be purchased for as many [pence?].,settlement description 
ID18,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,09,21,persuade,A short DESCRIPTION of and REMARKS upon a new State called THE WESTERN TERRITORY being one of four settled by the Americans since 1774.THAT no nation can serve the Americans with goods equal in quality and price to Britain is wha the whole world knows and from experience the most obstinate rebel American dare not deny: It is with pleasure therefore we inform our readers that the United States are paying more attention to agriculture than to manufactures–They have already laid out four new States since the beginning of their rebellion viz. Vermont Kentucky Indiana and The Western Territory.About seventeen years ago Vermont was a wilderness; they only began to settle it about the year 1774. Kentucky ten years ago lay in forest wild; it was settled in 1780. Yet so rapid has been the population that there are not less than one hundred thousand inhabitants already in each of these states. The State of Indiana was only laid off this present year in 1789 and contains but two or three hundred inhabitants. From a description of these four States published in America in May last we give our readers a short abridged description of the last of them called The Western Territory; and it must rerejoice the heart of every Briton to read it and think that the settling of these countries though the Americans double their numbers every 15 or 20 years will long keep them from manufacturing and is every day opening a field for new customers to Great Britain; for who will work as a tradesman even though wages are very high when he can for twenty pounds purchase a thousand acres of land that being the present price fixed by Congress for lots of land in The Western Territory.–Hence the demand of our manufactures will continually increase with the increasing population of America.–Desponding politicians may derive comfort from the prospect that new channels of commerce will be opened and the inland parts of the Continent will require an increasing supply.–British manufactures will for ages ascend the great rivers of that Continent and by means of a most extraordinary inland navigation will be diffused through a country more fertile more extensive than all the Thirteen United States.The Western Territory Is the name given to this new State by Congress. It is bounded on the west by the Mississippi river –north by the Lakes–east by Pennsylvania? south and south-east by the Ohio river; contains according to Mr. Hutchins Geographer General to the Congress 411000 square miles equal to two hundred and sixty-three millions of acres from which he deducts forth-three millions of acres for water; there will then remain two hundred and twenty millions of acres belonging to the fed–ral government which is to be sold for the discharge of the debt owing to the United States. But a very small proportion of these lands is yet purchased of the native Indians and disposed of by Congress*.On the lands which have been purchased by Congress from the Indians two settlements are already commenced–one at Marietta the other at Miami.This State was only laid out by Congress in the end of the year 1787 and already contains above 8000 inhabitants. The principal rivers are the Mississippi Ohio Muskingham Hockhocking Sioto Miami Wobash&c–Coal and iron mines and salt pits abound in this State; the soil is excellent?as rich as can be imagined and may be reduced to yield plentiful crops with little or no labour. It is exceedingly healthy pleasant and commodious–the most fertile spot of earth known to the Europeans or Americans–exceeding the soil of any of the United States. The timber is tall and in great variety?Streams for mills abound here. Wheat indigo hemp and cotton thrive well. Many years will probably not escape before a good part of the country will be brought to that degree of cultivation that will exhibit all its latent beauties and fulfill the description of travellers who call it the garden of the world. It is here probably also that the center of a great empire will be fixed in some future period. It is the most centrical place for Congress to accommodate themselves at. No country is better stocked with wild game of every kind; herds of deers elks bears &c fill the extensive meadows of thie country?turkies geese swans and partridges &c. are innumerable. The rivers are excellently stored with fish and almost all navigable for small sloops.In the ordinance published by Congress for the government of this territory they are to be allowed an Assembly when their number amounts to 30000 persons; and when they acquire a certain degree of population they are to have representatives in Congress; and when fifty millions of acres are settled they are to be divided into States.Rejoice O Britons! that they must all be supplied with manufactures by you and you only!* No more than about twelve millions of acres have yet been purchased of the poor natives for which Congress gave them only eight thousand dollars value in goods and rum.,settlement description 
ID32,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,11,inform,Mr. Ephraim Daniel of Baker's-row Mileend received the following letter from a friend in Holland last week:Sir your friend L–y who is just come here from the East Indies desires me to inform you that your unfortunate relation who left you with the transports for Botany Bay was well in February last. He has settled at Port Jackson and has leave to teach the children of some of your nation to read and write in your own way. The place is much improved since you ahve had any letters form it as there was no person without a habitation and being in some order when he left it. Except wearing apparel very little is wanting but business ; but you may thank the Dutch at Batavia for it as they have brought several useful things there. The last crops of corn and the garden grounds were in very good condition : and what makes the settlement more convenient one of the people who came in the first fleet makes all forts of earthn ware for use and ornament as the clay is equally good as that of Delft or elsewhere. He was surprised to see so many people without hats or shoes and houses without windows and full of wicker and rush furniture which is used in the place of almost every thing else. If the smiths had a plentiful supply of coal and iron hardly any utensils would be wanting. Your nephew has two children and says all that are born there are very healthy and more born than are buried or executed of grown people. The Christians Church was quite finished before he came away ; and he thinks if there were enough of your people they might have a place to themselves. The farthest of the lines was seldom visited by the savages ; and it was reported when he came away that as soon as more troops and a new Governor comes over they would go farther than ever up the country when some valuable discovers are expected to be made ; they have a gum which may be used for gum arabic which is veyr useful. He expects several of your people will go from Batavia to settle there very soon ; and wonders a way for sending old clothes is not yet found out. Norfolk Island is os thinly inhabited that it is not worth a stranger's while to land there ; and as little is said about it there as if it was as far off as Europe &c. &c.,settlement description 
ID47,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,18,inform,Governor Philips describes Port Jackson which is only about nine miles to the Northward of Botany Bay in South Wales on the Coast of Holland as one of the finest harbours in the world in which 1000 sail of the line might ride in perfect security. Sydney cove named so in honour of Lord Sydney the Governor chose in preference which is about hal a mile in length and a quarter of a mile across at the entrance. HEre was the finest spring water and ships can anchor so close in short that at a very small expence quays may be constructed at which the largest vessels may constantly unload. His meeting with the natives here was friendly and uninterrupted. The appearance of the place was picturesque and pleasing and it afforded an ample harvest for botanical acquisitions.,settlement description 
ID57,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,07,inform,Extract of a letter from a Gentleman at Charles Town South Carolina September 2 1789 to a friend in Bristol.My inclination has taken such a stubborn longing after your side of the water that I cannot enjoy tranquility here. So very wretched have I been at times that I can hardly support the regret I feel that I ever changed the bright and alluring varieties of cultivation England for the dreary the desolate scenes of America.Happy are those who have quitted this land of misery ; and I belive a situation here is not found enviable by the greatest patriots in the State. They are all in the secret sighing for the comforts of Old England. A bare pittance there would be preferable to the largest possessions here.,settlement description 
ID69,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,08,16,inform,By recent letters from America we learn that the Congress of the nited States after warm debates in both Houses particularly in that of the Representatives passed an act for the purpose of fixing permanently their seat of Government at German Town in Pennsylvania.The two new provinces in North America Kentucky and Vermont whose population already is so very considerable were formed by the vast numbers of inhabitants who fled from the destruction and ravages of the unhappy contest between Great Britain and her colonies and though the greatest part of them were then deemed loyalists yet they have now jooined the American confederation. Seated on the banks of the great river Mississippi far to the westward of all the other states they can either navigate northerly to the lakes or southerly to the Spanish settlements on the coasts of the Gulf of Mexico and carry on a lucrative trade with the Indians. They are possessed of as fertile a tract of country as any in the world the position of which they ??? also s???d by navigable rivers to Maryland Virginia and Pennsylvania and from thence as their views ???tend to every country in Europe. Thus from the most distressed situation to rise to opulence and independence ina few years must excite admiration.Agriculture at present seems to be the peculiar province of American industry from whence wealth will flow into every part of that vast country as it abounds in large tracts of rich land level grounds with a deep soil and extended savannahs; while to the northward the fisheries and shipbuilding amply compensate for the want of an equal fertility; and though not so abundant in coin yet the provinces produce the finest meadows form whence a provision trade will be every year increasing. The southern countries of Europe not affording sufficient crops of grain for the support of their inhabitants on account of the remarkable encrease of population and which is still augmenting as arts and manufacturers are every where extended: America may therefore be deemed in future the granary of this quarter of the globe.,settlement description 
ID137,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1819,03,29,inform,New colony in Lower CanadaThe following curious notice is extracted from a Quebec paper:–Interesting to thousands! – Colony of Brotherly Union.It is in agitation to found a colony upon the ancient Spartan plan sanctioned by apostolical usage of living a common and enjoying a community of goods. In this establishment as each will labour for all and all for each personal property will be unknown – and all Just of priate gain engendered by an imperfect organization of society will be sacrificed at the shrine of public felicityTo carry this project into execution a fertile tract of land consisting of some thousands of acres is on the point of being purchased and surveyedHusbandmen and artisans of every sort are invited to this colonization. We tender the right hand of fellowship to the honest and industrious of every description of people whatever be their religious of political faith.Want of funds will not furnish a reason for excluding any colonist ; and on the other hand it will be a fundamental law of this establishment that whatever property may be by adventurers put into the common stock will be considered as a loan and refunded to them r their assignees on demand.The colony will be situated within the bounds of Lower Canada and under the protection and control of his Majesty's Government.All persons who are willing to embark in this enterprise are requested to address themselves to the subscribers personally or by letter. They will specify their country age profession number of children (if married) propery &c.No letter will be received by from principals nor unless post paid – Every letter to bear on its superscription the words ' Colony of Brotherly Union.'s soon as a sufficient number of applicants shall have inrolled their names notice will given by public advertisement to convene and digest a code of laws and regulations for the establishment.S. Cleveland BlythSt Contant Lower Canada Dec. 3. 1818The several gentlemen who conduct the public paers printed in these provinces and the neighbouring states of America are respectfully requested to give the above one insertion pro bono publico.,settlement description 
ID141,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1819,05,27,inform,Extract of a letter from William Hunt esq. To H. Hunt esq.Washington Hotel New Orleans Dec. 25. 1818.My Dear Brother – We arrived safe in the mouth of the Mississippi on the 10th of this month after a voyage of 82 days from Gravesend. Your son and myself are in excellent health and very happy. There are 35 English vessels from Liverpool now here and a great many English emigrants from Yorkshire Nottinghamshire Lancashire Wiltshire Hampshire and Somersetshire ; and in fact from almost all parts of the heavily-taxed island we have left behind us ! Our ship was detained near a week in the river about 80 miles below New Orleans ; we all went on shore and had plenty of rabbit shooting. I killed the most with my double-barrelled gun by Knock corner of Fetter-lane. Henry myself and Mr Blake went one day into the woods to kill deer by night coming on we lost our road ; and differing in opinions we separated Henry and Mr Blake taking one road and myself the other. I reached the ship (about five miles) at ten o'clock ; but they remained lost all night in the woods and did not return to us till the next morning. It being wet and Henry sleeping on the marshy ground in spite of the remonstrances of Mr Blake caught a severe cold and suffered much with rheumatic pains for four days but he is now perfectly recovered : he is grown fat. In the river there are thousands of wild swans wild geese wild ducks woodcocks snipes and other wild fowl. If you were there you would kill a waggon load in a day as I know you have frequently killed a horse load in England ; but they are a thousand times more numerous here than I ever saw them in England ; this market swarms with them and very cheap. No game certificate required here. Myself Henry Mr Blake and the other passengers visited a French farmer about six miles below New Orleans : he has got 3000 acres of his own land whereon are sugar plantations sugar-houses & c. ; he made 250 hogsheads of molasses of sugar last year. He offers five hundred acres of good land with his pretty daughter as a fortune on her marriage. There are plenty of French settlements on the banks of the Mississippi ; but they are the most slovenly and the worst farmers I ever saw. – They are very lazy bad managers and appear to use their negroes very cruel and work them very hard. The Europeans generally leave New Orleans in the summer as it is very unhealthy in the hot weather and the deaths are frequently seventy in a week. The scenery of this country is very picturesque ; it is very much like the banks of the river Thames about Richmond and Staines and many of the buildings are as handsome as those of Bath. Here is one Church which is a very beautiful building. On Sunday the French and Spanish shops are all open and it is a market during the whole day ; balls and the theatre open in the evening gambling & c. We are at the Washington Hotel the best in the city ; it is expensive although very good living here : we pay ten dollars a-week each including claret and rum and water. There is no beer here in warm weather as in England and it is as warm here now as it was in England in July although not half so oppressive and stinking as it was in Covent Garden during the election : 60 persons dine and sleep in this hotel most of them English. We do not trouble ourselves about politics in this country ; our object is to cultivate the soil and to reap the fair reward of our labour. On Saturday we were charged 100 dollars each for passage and four dollars six cents for every hundred weight. We have three and a half tons weight with us. Do pray send me four quarters of the best peas rye grass seed and some more of Hill's Scots ploughs to be left at Messrs Brown and Co. who will forward them carefully to me at the Illinois. Mr Trimmer an Englishman has purchased 20000 acres of land near Mr Birkbeck and has taken twenty couple of hounds with him so that we shall have some hunting as well as shooting if we like. It is said that he is about to marry one of Mr B.'s daughters. He is now here : he tells me that there are plenty of English farmers settled all over the Illinois territory. He is here to get labourers ; they are the only thing wanting there. I should have brought over some with me but they may follow us ; as I understand the labourers with the pay of a dollar a day can live better than a Hampshire or Wiltshire renting farmer of L.300 or L.400 a year. Mr Riply and others that I have seen from Illinois report that the farmer can get a sure profit the first year. Mr Ripley says there is a good sure market and a fair profit and only one penny per acre land tax ; this is all the taxes we shall have to pay. Price of labour is very dear here ; we pay a dollar for washing every dozen of shirts cravats pocket handkerchiefs & c. & c. The price of a gallon of best rum is one and a half dollar. The custom-house duty on my things shipped from England I have paid 92 dollars for. Although I should like England very well if it was not for the taxes yet from what I have seen hitherto I like America ten times better,settlement description 
ID187,Glasgow Herald,Glasgow,Scotland,United Kingdom,1822,01,28,inform,SOUTH AMERICA. Extract of a letter from an Englishman dated Lima September 10 1821.Lima is what an Englishman would call a dirty colonial town; 6000 inhabitants is the outside of its population; the whites are about 1200 Europeans and not as many born in the country; the rest are blacks and mulattoes. Of the mulattoes there are eight various shades. I never saw such a wretched herd as Lima incloses; more poverty and miserty than in any town of the size in the world.– There are some few splendid houses but the rest so disgustingly filthy that you cannot go into them without being covered with dust and vermin. The streets as in all American towns run at right angles; a powerful stream of water in each : the town is capable of great improvement. The climate must be bad for the whole population look as if turned out of the hospitals for a day's air; a half-born race–melancholy in their faces. On the whole coast of Peru we made the same observation; the ague very general with fever–their habits and manner of living increase the evil: thin clothing and vegetable diet–nights very cold –I sleep under a heavy blanket and could bear another; a thick fog prevents the sun from coming out in winter; the heat however is not excessive during summer; on the whole not an oppressive climate if the people had any idea of living in a rational way. Very few families cook at home–they buy their greasy messes boiled in the streets in pulperias and in the squares: not six families in Lima that have wine on their tables: they drink brandy at all hours and excuse themselves for not having any thing that is expensive by saying it gives the ague; the same person who denies himself a glass of wine will lay twenty doubloons on a card in the evening. Their money goes in gambling debauchery and dress; every woman high and low has her price; a lady take no offence at her frailty being exposed; she tells you she is quite as good as her neighbours and needs be no better. The Spanish nation and Government are the cause of all the degradation of South America: every Viceroy from Pizarro to Pezuela was a plunderer a teacher of immorality in words and deeds. The miserable state of this people seems incredible–one must see to believe it : scarcely a young lady can read or write or use a needle; few houses that the Devil has not appeared in; and a devout lady is accompanied in her carriage by the Virgin Mary. Thus is ignorance imposed upon by knaves : as to priestcraft it reigns here in all its glory : a third part of Lima is covered with churches some of them very splendid. The whole trade of this part of Peru depends on the single mine of the mountain of Pasco for returns : if this is worked to advantage it will produce six millions of produce. Mining may be carried to any extent it is true; but this requires tranquility and good government. People in Europe have the most erroneous ideas of Peru; every traveller and historian who has written or talked about it ought to be made to stand in the pillory for a liar.Arica the second port of Peru and the great outlet to Upper Peru is a wretched village of hovels covered with mud–about 400 Mulattoes and Indians–placed on a sand bank–the pepole all in the ague–not a boat or ship of any sort. The harbour-master came off on a bulsa (two bladders lashed together) paddled by an Indian. We could not get a basket of fruit or vegetables for money. Their cultivation was three leagues off but they were too lazy to fetch any thing though a seventy-four and a frigate lay-to twenty hours offering them any price for their tropical fruits.I hire a small room for 12 dollars a month and sleep on the ground; borrowed a chair and bought some crockery No such thing as a tavern : never was. Letters of no use; no one asks me to his house. I go to bed at eight o'clock to kill time. A play twice a week : the most fashionable ladies stand up in the front boxes and light a segar by the chandlier; the house filled with smoke.There are 82 titled familes mostly idiots–all reduced to poverty by the emancipation of their slaves. If the war be continued a year Peru will be the most wretched country on the globe; indeed the Indians will regain their empire and exterminate all other colours. The number of blacks in the viceroyalty is estimated at seventy thousand– 25000 in Lima and adjacent villages; the total population of Peru about three millions–three-fourths Indians.About the town there are many fine gardens with pretty country houses. Provisions of all sorts excellent and in the greatest variety; fruits of all climates in the marketplace the produce of the sea-shore and the Cordillera.– Beef and mutton excellent–the chief supplies come from Jauja an other vallies in the Cordillera. The sea-shore produce is contiued to little vallies badly cultivated; those about the town would disgrace the free negroes of Carolina. Most valuable land a league from the town half cultivated and half abandoned; every thing left to starved slaves; such famished objects I never behald; no other hands to cultivate. When emancipation becomes general they will not work and famine must ensue.,settlement description 
ID340,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,06,21,inform,The brig Virginia Planter James Merrifield Master arrived at Liverpool brings information that on the 5th of May General Wayne with two thousand provincials had attacked totally destroyed most of the Indian towns at the back of Georgia for near two hundred miles around the river. That M'Gilvray and his army of savages after an unsuccessful and bloody engagement had fled to the woods where the General left them and returned to Savannah.– This expedition was undertaken about the beginning of March winch has been crowned with the expected catastrophe and though the Cherokee Miami and Chiquesaw tribes may mediate revenge at some future period; it is not likely they will be in a condition to disturb the settlers for some years to come.,settlement description 
