Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text,Keyword
ID82,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,11,29,inform,Extract of a letter from Dublin Nov.23.The drafts at Cork yesterday received the agreeable orders to return to their respective regiments immediately.The officers appointed to raise independent companies in Ireland have received orders to repair forthwith to England with whatever complement of men already entered but not to proceed with the completion of their number : in conference to this order they are preparing for their immediate departure.Last Tuesday two eminent merchants of this city received orders by way of a vessel arrived at Cork from Mess de Fouseca Olivarez and Co. at Seville for the immediate exportation of cotton white linen and mixed goods to a very large amount.Monday evening the Elizabeth and Mary Mark Purcell master arrived at Waterford from Annapolis in Maryland after a long and dangerous passage of 52 days in which they had nearly exhausted the whole of their provisions having been a very short allowance of half a naggin of rum diluted with one pint of bad water for twenty-four hours. She is heavy laden having on board six hundread hogsheads of tobacco a large quantity of pipe staves barrel hoops &c. and has been expected more than two months. Eight per cent was offered as insurance on ship and cargo but refused on account of the then probability of a war.,war 
ID95,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1793,07,29,inform,A great number of white people and white families have been killed and scalped by the Indians in the back settlements of America. Among the killed and scalped is Mr. Pugh son of Colonel Pugh.The Indians are determined on war with the Americans. They are headed by Gilpin the successor of M'Gillivray and have already commenced hostilities on the back settlements of Carolina.,war 
ID105,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1812,10,03,inform,Upper Canada York July 28.Yesterday at an early hour his Honour Isaac Brock Esq. administering the Government of Upper Canada and Major-General commanding his Majesty's forces therein arrived at this place from Fort-George and accompanied by a numerous suite proceeded to the Government Building at four p.m. when he opened the present extra session of the Legislature and delivered the following speech to both houses :–Honourable Gentlemen of the Legislature Council and Gentlemen of the House of AssemblyThe urgency of the present crisis is the only consideration which would have induced me to call you together at a time when public as well as private duties elsewhere demand your care and attention.But Gentlemen when invaded by an enemy whose avowed object is the entire conquest of this province the voice of loyalty as well as of interest calls aloud to every person in the sphere in which he is placed to defend his country.Our militia have heard that voice and have obeyed it ; they have evinced by the promptitude and loyalty of their conduct that they are worthy of the King whom they serve and of the constitution which they enjoy ; and it affords me particular satisfaction that while I address you as Legislators I speak to mean who in the day of danger will be ready to assist not only with their counsels but with their arms.We look Gentlemen to our militia as well as to the regular forces for our protection ; but I should be wanting to that important trust committed to my care if I attempted to conceal (what experience the great instructor of mankind especially of legislators has discovered) that amendment in our militia laws is necessary to render them efficient. It is for you to consider what further improvements they still may require.Honourable Gentlemen of the Legislative Council and Gentlemen of the House of AssemblyFrom the history and experience of our mother country we learn that in times of actual invasion or internal commotion the ordinary course of criminal laws has been found in adequate to secure his Majesty's Government from private treachery as well as from open disaffection ; and that at such times its Legislature has found it expedient to enact laws restraining for a limited period the liberty of individuals in many cases where it would be dangerous to expose the particulars of the charge ; and although the actual invasion of the province might justify me in the exercise of the full power reposed in me on such an emergency yet it will be more agreeable to me to receive the sanction of the Houses.A few traitors have already joined the enemy–have been suffered to come into the country with impunity–and have been harboured and concealed in the interior ; yet the general spirit of loyalty which appears to pervade the inhabitants of this province is such as to authorise a just expectation that their efforts to mislead and deceive will be unavailing– The disaffected I am convinced are few–To protect and defend the loyal inhabitants from the machinations is an object worthy of your most serious deliberations.The speech concludes with a call for supplies.ProclamationThe unprovoked declaration of war by the United States of America against the united kingdom of Great Britain and Ireland and its dependencies has been followed by the actual invasion of this province in a remote frontier of the western districts by a detachment of the United States. The officer commanding that detachment has thought proper to invite his Majesty's subjects not merely to a quiet and unresisting submission but insults them with a call to seek voluntarily the protection of his Government.Without condescending to repeat the illiberal epithets bestowed in this appeal of the American Commander to the people of Upper Canada on the administration of his Majesty every inhabitant of the province is desired to seek the confutation of such indecent slander in the review of his own particular cirumstances. Where is the Canadian subject who can truly affirm to himself that he has been injured by the Government in his person his property or his liberty? Where is to be found in any part of the world a growth so paid in prosperity and wealth as this colony exhibits? Settled not thirty years by a band of veterans exiled from their former possessions on account of their loyalty not a descendant of these brave people it to be found who under the fostering liberality of their Sovereign has not acquired a property and means of enjoyment superior to what were possessed by their ancestors. This unequalled prosperity would not have been attained by the utmost liberality of the Government or the persevering industry of the people had not the maritime power of the mother country secured to its colonists a safe access to every market where the produce of their labour was in request. The unavoidable and immediate consequence of a separation from Great Britain must be the loss of this inestimable advantage and what is offered to you in exchange? To become a territory of the United States and share with them that exclusion from the ocean which the policy of their Government enforces ; you are not even flattered with a participation of their boasted independence ; and it is but too obvious that once exchanged from the powerful protection of the United Kingdom you must be re-annexed to the dominion of France from which the provinces of Canada were wrested by the arms of Great Britain at vast expence of blood and treasure from no other motive than to relieve her ungrateful children from the oppression of a cruel neighbour ; the restitution of Canada to the empire of France was the stipulated reward for the aid afforded to the revolted colonies now the United States ; the debt is still due and there can be no doubt but the pledge has been renewed as a consideration for commercial advantages or rather for an expected relaxation in the tyranny of France over the commercial world. Are you prepared inhabitants of Canada to become willing subjects or rather slaves to the despot who rules the nation of Europe with a rod of iron? If not arise in a body exert your energies co-operate cordially with the King's regular forces to repel the invader and do not give cause to your children when groaning under the oppression of a foreign master to reproach you with having too easily parted with the richest inheritance of this earth–a participation in the name character and freedom of Britain.[The proclamation concludes with a declaration that should the Americans refused quarter in consequence of Indians being found in Canadian ranks that a severe and rigorous retaliation will take place.]Isaac Brock Major-Gen. and President Head-quarters Fort George July 22 1812.,war 
ID107,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1812,11,09,inform,War in CanadaExtract of a letter from Montreal Sept. 25 Our Friend Mr – arrived in town from New York a few days ago. On his way he passed three days at Plattsburgh the head-quarters of the American army which from ocular observation he states to consist of 8 or 10000 men under the command of General Bloomfield Mooar and Petit. This force is composed of 3 or 4000 regulars about the same number of militia and some volunteers from the southward. The militia is almost all from the state of New York for the Yankees still refuse to march. with this force no doubt is entertained here but theywill make an attack ; and if they mean to make it this season they must be prompt in their movements for the weather is getting cold and they are not well clothed or appointed. Mr – indeed states half of them to be without shoes or stockings which will never do for a winter campaign in this country. To repel the threatened attack we are making every preparation in our power and the Canadians seem well disposed to second the Government. Sir George Prevost has established a cordon the left of which is at Chambly and extending to Chateaguny ; the main encampment is half way between St John's and La Prairie. Colonel Murray is at St John's with a battalion ; and the Isle-au Noix is strongly fortified with a boom and a chain secured across the river. This line of defence is composed of four regiments of the line and 2000 drafted militia with a corps of about 400 Canadian voltigeurs raised last spring. The Royals a very strong battalion lately arrived from the West Indies are now marching to join the camp. The citizens both here and at Quebec mount guard and do garrison : indeed there are in this island (Montreal) five battalions of militia say 3 to 4000 men pretty well disciplined and who on an alarm could march to this cordon in half a day.– A new regiment of embodied militia has lately been formed by drafts from the different regiments of inrolled militia in this island and old Major Murray is appointed Lieutenant-Colonel. The gentlemen of the North-west Company army are forming a corps of their voyageurs who will be most useful troops to act in advance with the Indians. The number originally proposed was 200 but the men have come forward so handsomely that they are to consist of 500. Mr M'Gillivray is Lieutenant-Colonel Commandant of this corps Mr Shaw Major and the other partners of the Company are Captains and subalterns ; so that the men being commanded by those whom they have accustomed to obey may be considered as already disciplined at least in point of subordination.Sir George confines his operations to mere defence. La Motte with about 70 Indians advanced through the woods about ten days ago within hearing of this redoubtable army and set up a war whoop which so completely terrified them that though they could see no enemy they lay on their arms for two two successive nights in no expectation of an attack–to prevent which they cut down their best bridge and destroyed all the roads by which I suppose they mean to invade us. Mr – who was several days at their headquarters and who was offered the rank of Lieutenant-Colonel in the army has it is said proposed to Sir George to destroy their camp with 500 men ; and Sir George is said to have replied that his plan was fixed not to make any attack nor to send a man across the line.This forebearance which the Yankees impute to fear or weakness tends only to increase their insolent swaggering and their enmity is to inveterate to be allayed by any thing but hard knocks.,war 
ID108,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1813,10,16,inform,CanadaThe Rota frigate arrived on Monday off Plymouth with a fleet from Halifax under convoy and passed up the channel with the chief part of the trade. From the Hydra transport which put into Plymouth we have received the following official notification of Sir James Yeo's success on Lake Ontario the American notices of which have already been published.Bulletin.Head-quarters Kingston Aug. 14. 1813 By accounts received from his Excellency the Governor in Chief and Commander of the forces from Commodore Sir James Yeo dated off York half-past one P.M. on the 11th instant the following particulars have been transmitted of the capture and loss of the enemy's armed schooners:–On Thursday evening last the 10th instant the enemy's squadron under the Command of Commodore Chauncey got under weigh from their anchorage off the mouth of Niagara River and with a fine breeze from the east stood towards our fleet which were becalmed off the port of Twelve Mile Creek. At sun-set a breeze coming off the land gave us the wind of the enemy when our squadron stood for them on which immediately bore away from us under as much sail as their schooners could carry to keep up with their larger vessels. The enemy's fleet formed a long. The Pike Madison Oneida and six schooners (two schooners were placed to windward for the purpose of raking the masts of our squadron as it should come up). At eleven the squadron got within gun-shot of the schooners when they opened a brisk fire and from their going so fast it was more than an hour before the Wolf our headmost ship could pass them ; at this time the rest of the squadron was two and three miles astern of the Wolf and on her coming up with the Madison and Pike they put before the wind and made sail firing their stern-chasers.– Sir J. Yeo finding it impossible to get the squadron up with the enemy as the Wolf was the only ship which could keep up with them then made sail between them and the two schooners to wind ward which he captured and which are called the Julia and Growler each carrying one long 32 pounder and long 12-pounder and 40 men.– Two of the enemy's largest schooners the Scourge of 10 and Hamilton of nine guns upset on the night of the 9th in carrying sail and all on board perished (about 100 in number). By this loss and capture the enemy's squadron are reduced to 10 vessels and our's increased to eight. It is ascertained that the Pike mounts 28 long 24-pounders and 420 men the Madison 22 long 32 pounders and 340 men. Boat loads of troops were taken on board the enemy's squadron on Monday last for the purpose it is supposed of repelling the boarders.– The Wolf has not received any material injury and not a person hurt. The prisoners were landed on the 11th instant and the Growler's damage repaired. She had lost her bowsprit and was otherwise cut up.Nothing could exceed the eagerness and enthusiasm of the officers and men in our squadron for a close engagement.,war 
ID109,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1813,10,07,inform,Canada. (From the Quebec Mercury.) Attack on Fort Schlosser. Head-quarters Kingston July 13.By accounts from the army under Major-General De Rottenburg dated the 9th instant the following particulars have been received of a bold and successful attempt to surprise the American post at Fort Schlosser.In the night of the 4th instant a party consisting of Volunteer Thompson and six privates of the 49th regiment under Ensign Winder and thirty-four of the militia the whole under the command of Lieutenant Colonel Clarke of the Lincoln militia crossed over in boats from Chippawa to Fort Schlosser which they reached a little before day-break and completely surprised the guard consisting of two Lieutenants one serjeant and eight privates whom they made prisoners together with three civilians and three of our own subjects found in the Fort.– The party remained in the Fort about one hour loading their boats form the public stores and wharf and brought with them one brass six-pounder 57 stand of arms two and a half kegs of musket ball cartridges 6 bulwarks of musket proof curtains for boats one gun-boat two batteaux 20 barrels of salt 17 casks tobacco eight barrels of pork and one barrel of whiskey with a number of spades oars and axes ; a small party of the enemy had collected as the last boast pushed off from the shore and several shots were fired but the boats returned to Chippawa with their prisoners and the articles they had captured without a man being hurt on this service. Further accounts have also been received from the army highly creditable to the Indian warriors serving with it. On the 8th instant a party of the King's regiment and a body of Indian warriors were sent to endeavour to recover a considerable quantity of medicines and surgical instruments which had been buried near the Fort George when our troops retired from it. A skirmish ensued in consequence between the Indians and the enemy in which the latter lost one officer and 20 men killed and 10 taken prisoners–the whole of the medicines and instruments were brought off by the party of the King's; the only loss sustained being three Indians wounded. Captain Norton led the Indian warriors with great spirit ; and much credit is due to Captain Merrit of the Provincial dragoons for reconnoitering the spot where the medicines were deposited and conducting the party to it.A few nights ago the barracks at Gravelly Point burnt by our gun-boats and more than 100 barrels of pork flour and other articles brought away from thence together with a very fine Durham boat–500 oars colleced and partly loaded in her for Sacket's Harbour being destroyed.Attack on Black Rock Head-quarters Kingston July 15 1813.G. O.–His Excellency the Commander of the forces has received a dispatch from Major General De Rottenburg reporting a successful attack upon the enemy's post and dockyard at Black Rock at daybreak on the morning of the 11th inst. by detachments of the King's and 41st regiments together with Liutenant Fitzgibbon's party of the 49th and about 40 militia the whole amounting to 240 men under the command of Lieutenant-Colonel Bishopp. The enemy's position was carried by a spirited attack without the loss of a single man. Several large boats loaded with stores and provisions and three field pieces a twelve and two six-pounders were brought away ; a vessel and all the naval store-houses and barracks have been burnt.Unfortunately before the evacuation of the post was completed a strong reinforcement of the enemy aided by Indians pressed this small detachment by which Captain Saunders of the 41st and 15 men were killed ; Lieutenant-Colonel Bishopp Lieutenant Montpesson of the 41st and 15 rank and file wound ed. The wounded were brought over.Lieutenant-Colonel Bishopp has received three wounds severe but not considered dangerous.By his Excellency's commandEdward Baynes Adjutant-GeneralBritish Expedition to PlattsburghThe following is an extract of a letter from a respectable citizen at Burlington dated Aug. 1. 1813An express arrived at Burlington on the 30th July with intelligence that the British had left the Isle au Noix with a force consisting of the two armed sloops of 11 guns each and four gallies of one gun each and 100 batteaux full of men and had progressed within one mile of the town. The camp was instantly alarmed and the troops under arms but no enemy appeared. Next day we learnt that about 1000 troops under the command of Colonel Murray had landed and took possession of Plattsburgh without opposition there being no force to oppose them except the militia of the town and vicinity who being only 400 in number retreated as the enemy advanced. The arsenal belonging to the State Pike's encampment barracks at Serenac cantonment and every building belonging to the United States were immediately burnt. The enemy obtained both provisions and stores. The loss cannot be less than 50000 dollars. The enemy left Plattsburgh on the 1st and are understood to be proceeding this way ??? ??? ??? ??? ??? ??? ??? ??? ??? On General Dearborn invading Canada and taking possession of Fort George he sent off to Greenbush as prisoners of war the following respectable inhabitants : Messrs Edwards Murehead Dickson Lyminston Lawe two Kerrs M'Ewan Parson Addison Howell Heron Green Baldwin Clinch Jones Ball Decoe and John Crook. Messrs Lawe M'Ewen and the two Kerrs were wounded on the 27th June. General Dearborn expected that the inhabitants would have joined the Americans.General Dearborn resigned the command of the Niagara army on the 23th June on account of indisposition. General Lewis says in his dispatch to Secretary at War that he did not think the General would ever again be fit for service ; that the unfortunate events of the war had deranged his understanding ; and that thought sometimes in a state of convalescence he uniformly relapsed when military topics were alluded to. General Lewis having been nominated to command at Sacket's Harbour is succeeded at Fort George Niagara and on the Canadian frontier by General Boyd.The Indian chief Tecumseh has seized the favourable moment of the diversion by our shipping in Virginia for surround Fort Meigs with 2000 warriors. He had deprived the garrison of all the possibility of receiving supplies. General Clay who commanded there had written urgently to General Harrison for assistance. The latter was collecting his army to march to his relief.Sir James Yeo after the retreat of the enemy's army at Fort George swept the American side of Lake Ontario. He landed a body of troops at Great Sodus and took the whole of the provisions consisting of several hundred barrels of pork and flour and burnt the buildings. The British loss was a serjeant and four privates of the Royal killed. At Genessee River he inflicted the same loss on the enemy taking 500 barrels of pork and 1700 bushels of corn. The provisions were delivered to General Vincent. Four companies of the Royals were embarked on board the fleet to serve as marinersThere were at Quebec on the 22d July 1000 American prisoners of war captured since the commencement of the campaign. At Beaufort there were 50 officers including three General. In consequence of the conduct of the American Government and of the officers the latter are no longer permitted to return home on parole. The Melpomene frigate with De Meuron's regiment from the Mediterranean arrived in the river St. Lawrence on the 20th July.James Gready private in the 8th or King's regiment and Terence Hunt private in the 6th foot were in the latter end of June tried by Court Martials for deserting to the enemy and being found in arms and were publicy shot at Kingston Canada pursuant to their sentence.It appears from the Quebec papers and from the general orders issued by the Commander in Chief in Canada that on the late defeat of General Wilkinson on the banks of the Miami river the American military chest containing 15000l. Sterling was among the property captured by the British.Captain Waugh of the 103d regiment died at Chamely on the 2d July.General Hampton has arrested Colonel Clark the late commandant at Burlington for a defalcation of about 50000 dollars.,war 
ID110,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1813,12,30,inform,Victory in CanadaBy the Dunlop Captain Abrams arrived on Sunday last at Greenock from Quebec after a passage of 36 days papers and letters have been received from Canada to the 19th which contain an amount of an engagement between a detachment of the British force under Lieut.-Col. Morrison consisting of the 49th[?] and 89th regiments with some companies of the Canadian militia and a body of American troops amounting to 4000 men which ended in the defeat of the latter with great loss. This action was produced by the attempt of the American General to advance to Montreal from which it appears however he has now begun to measure back his steps having crossed to the American side of the river where the action was fought and being actively pur sued in his retreat by the British troops.The following information has been received by the Alexander Captain Henry which arrived at Liverpool on Tuesday:–Quebec Nov. 26. 1813 The enemy's whole force was about 8000 men under the command of General Wilkinson. The division commanded by General Boyd consisting of about 3000 to 4000 infantry cavalry &c. was alone engaged upon the 11th instant.The enemy lost in the action Brigadier Gen. Conington and Colonel Preston killed–probably 600 men killed wounded and taken.The consequence was a precipitate retreat across the St Lawrence at Cornwall on the 13th and evacuating the province. General Wilkinson marched his troops into the Straits the route of Plattsburgh leaving all his boats upwards of 300 in the Salmon river where they were frozen in on the 16th and 2000 men to protect them.Colonel Plenderleath came home in the Alexander with dispatches.,war 
ID316,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1793,01,07,inform,MONDAY JAN. 7. By the Fanny Capt. Bryen arrived in twenty four days from New York we have American papers of which we give the following important intelligence:–It is an undoubted truth (Strange as it may appear) that the Baron D'Carondolet Governor of Louisiana and Governor O'Neal of Pensaco la have opened the shores of the King of Spain in West-Florida to the Creeks and Cherokees and delivered them arms and ammunition in abundance advising and stimulating them to go to war against the frontier inhabitants of the United States and that quickly that now or never was the time while the United States were engaged with the northern tribes.On the 30th of September about midnight John Buchanan's station four miles south of Nashville) at which sundry families had collected and fifteen gunmen) was attacked by a part of Creeks and Lower Cherokees supposed to consist of three of our hundred. Their approach was suspected by the running of cattle that had taken fright at them and upon examination they were found rapidly advancing within ten yards of the gate and from the place and distance they received the first fire from the man who discovered them John M'Rocy. They immediately returned the fire and continued a very heavy and constant firing upon the station blockhouses surrounded with a stockade for an hour and were repulsed with considerable loss without injuring man woman or child in the station.During the whole time of the attack the Indians were never more distant than ten yards from the Block House and often in large numbers close round the lower walls attempting to put fire to it. One ascended the roof with a torch where he was shot and falling to the ground renewed his attempts to fire the bottom logs and was killed. The Indians fired 30 balls through a port hole of the over???ing which lodged in the roof in the circumference of the bat and those sticking in the walls on the outside are innumerable.Undoubted advices have been received that as early at the 18th of September as many as 500 Creeks passed the Tennessee and the lower Cherokee towns and below as on their way they decared to make war on Cumberland–and that they were joined by about 100 Cherokees of those towns.–This must have been the party that attacked Buchanan's station. Dreadful havoc was expected but it is now hoped that the check they have received will induce them to return without making further attempts upon that settlement.On the 3d instant. Black's Block House on the head of Crooked Creek (a branch of Little River) at which there was a serjeant's command of Cape Crawford's company was attacked by surprise about an hour and a half in the night by a party of Indians commanded by a Cherokee of Will's Town called the Tail a brother of the Bench and Talohteske consisting of 3 other Cherokees and 5 Creeks.James Paul was killed in the knife and George Morse and Robert Sharp at a fire on the outside and John Shankland wounded 3 horses were killed and 7 taken off.These are the fruits of the advise of the Baron D'Carrondolet and Governor O'Neal; and it is due to Mr. Paton their chief instrument to add he has well acted his part!!!We hear from Fayetteville (North Carolina) that on Tuesday the 23d of October last a fire broke out in that town owing to the negligence of a small negro girl which consumed about 40 dwelling houses and stores and 28 buildings of other descriptions.,war 
ID317,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,04,27,inform,Richmond January 28. Extract of a letter from a Gentleman now residing at Quebec to his Correspondent in this City dated Jan. 9 1972Our humanity was deeply affected by the dreadful carnage made by the Indians. You may be assured that the number of Indians did not exceed 1000 and that nothing saved General St. Clair and the remainder of his army but the great quantity of plunder he left to the Indians; they were composed of various tribes and three-fourths of of them remained in the camp to plunder it and to take scalps the trophies of their victory; and he that got most when he returned to his nation acquired the greatest share of glory; hence only about 200 pursued. The loss of the Indians is under 20 killed and 30 wounded. The victory they have obtained at so easy a purchase and the riches they obtained by the plunder and the provisions they found will make them a more terrible foe than ever they have been; they boast of taking an amazing quantity of powder and arms which they wanted; many of them were only armed with spears and hatchets and I have no doubt but if another expedition should be set on foot that they will be met by three times the number of Indians. The indian tribes of nations who live many hundred miles back have all entered into an association and made the present war a common concern they to oppose what they call the common enemy. The warriors of the different tribes so united are not less than 15 or 20000; numbers of the chiefs of ten or twelve numerous nations were here last summer. Lord Dorchester advised them to make peace and offered his mediations; he told them he was at peace with the United States and could give them no assistance. Their answer was that the enemy was in their country and would not make peace with them but on term dishonourable and at the expense of their country and that they had determined to die before they would accept of such terms. They felt much dissatisfied with the answer they received and departed with a full determination to defend their country with the last of their blood.You may depend on it that many years will elapse and many thousand men be expended before the United States will by the present measures be able to possess the country in contest; and I may also add that I have great apprehensions that desolation and destruction will be the consequence on the frontiers of the Ohio this winter and next spring; I would to God some steps might be taken to prevent them. I have no doubt the country might be purchased for one fiftieth part of the expence already incurred by the different expeditions; the attempt to take the country from them by force is founded in unrighteousness and ought to be abandoned; besides if the American mean to have anytrade with them they are taking steps that will prevent it for many years to come. The Indians do not easily forget or forgive injuriesCarlisle Jan. 4. 1792.By the Pittsburgh post which arrived yesterday we are informed that previous to his leaving Pittsburgh an express had arrived there with the melancholy news that Forts Jefferson and Franklin were taken by Indians and that two large bodies of them were moving to the Allighany.Extract of a Letter from Patowmack North Amer ca Feb. 7.Last Sunday evening came to this town a young man from Cat-fish which he left about two weeks ago and who gave us the following pleasing interesting and important intelligence viz that two days before he left Cat-fish two men arrived there from Licking who informed that they had been out with a body of 1300 volunteers on horseback from Kentucky under General Scott; that they left Licking on the expedition a few days before Christmas; that General Scott dispatched three spies in advance who when they arrived about 13 miles beyond the spot where General St. Clair was defeated they discovered a large body of Indians diverting and enjoying themselves with the plunder they had taken riding the bullocks dancing &c. and appeared to be mostly drunk; that on the information being given to General Scott who with the main body were a few miles in the rear he divided them into three divisions advanced and fell on the enemy by surprise; that the contest was short but victorious on the side of the volunteers 700 of the enemy being killed on the spot all the cannon and stores in their possession retaken and the remainder of that savage body put to flight; that General Scott having lost but six men returned to Licking in triumph with most of the cattle stores &c. leaving the cannon at Fort Jefferson; that General Scott had previously gone out with 400 men but finding his number was insufficient was returning but met a body of 900 volunteers when upon joining him he immediately proceeded in prosecution of his original design which fortunately proved successful.Our informant further adds that he saw a Kentucky newspaper of the 8th of January at Morgan Town brought by Major Scott's expedition which corresponded with that given by the two men at Cat Fish and that Gen. Scott brought in near 700 scalps.,war 
ID321,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,11,05,inform,The Indian Chiefs lately arrived in town are six in number. They have been indiscriminately styled Cherokees but three of them only are of that nation and three are Creek Indians.–They are all handsome men not exceeding in age twenty- five or twenty-six. These six Chiefs have 20000 warriors ready to take the field and have the strongest wish to act in conjunction with the English. They travelled 3000 miles before the reached Halifax and were near 12 months in performing the journey. From Halifax they went in an English frigate to Quebec to Lord Dorchester by whom they were sent over to England to concert their plans in person with the Ministry.The object of their coming to this country may be easily guessed at. They long to make an attack upon the Spanish settlements. One of them was heard last night in the playhouse to say he hoped in six months from this time to be in the heart of Mexico.,war 
