Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text
ID11,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,24,persuade,The old system of sending men of rank to govern Jamaica seems to be revived and laudably too. This island is the most important possession we hold in the West Indies and is well entitled to any mark of distinction which the parent country can bestow upon it. The salary and emoluments annexed to the government of Jamaica render it the most valuable of any in the King's gift except that of Ireland. Soon after the Restoration O'Brian third Earl of Inchiquin was appointed Governor of Jamaica and died in his Government. Henry Bentinck first Duke of Portland was made Governor of this island in the reign of George I. His Grace died at Spanish Town July 4th 1736 in the 45th year of his age. The death of these two Noblemen in their government gave so bad an impression of the climate of Jamaica and the insalubrity of its air that few persons of rank and fortune have been ambitious of becoming governors of it notwith standing the brilliancy of the appointments an nexd to the situation.  
ID65,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,07,12,entertain,By the last letters from India we understand they were going on in the plodding way with nothing new or important.–The markets are overstocked with British goods so as to enable our countrymen to supply themselves with most articles at a cheaper rate than if they were at home ; the credit of the revenue rather upon the increase ; Lord Cornwallis is as strict as ever who is expected to remain another year among them to the no small regret of those who left England for the sake of Oriental wealth. Our female adventurers have also found it a bad market ; British beauty never fails of finding its admirers ; but the late restriction in the East have rendered wives forbidden fruit of which neither civil nor military dare to think of tasting.  
ID99,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1794,02,10,inform,The whole expenditure of the American States on all establishments civil and military did not amount in the last year to 180000l.  
ID103,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1810,06,09,inform,Canada Extract of a letter from a Gentleman to his Friend in Glasgow Quebec March 23 1810.–A number of leading characters among the Canadians who were Members of the House of Assembly (twice dissolved for improper conduct) and the proprietor of a French paper called La Canadien have been arrested and thrown into jail upon a charge of treasonable and seditious practises ; the printing press types &c. also taken possession of. This vigorous measure of Sir James Craig has astonished the Canadians not a little but the consequences will be no doubt beneficial to the country as it has crushed a faction which has for some years been gaining strength and acquiring dangerous influence over the minds of the inhabitants who are without education and ignorant of course in the extreme ; therefore easily misled by demagogues among their countrymen who seize every opportunity of stirring up all those prejudices which the people of this country naturally have against the British : for having been allowed to preserve their language they are nearly as much Frenchmen now as they were at the conquest. Quebec March 22.–On Sunday afternoon the printer of the Canadien Mr Charles Lafrancois was arrested and committed to jail under a warrant from the Executive Council on a charge of treasonable practises. On Monday evening Dr Blanchet and Mr Bedard and last evening Mr T. Taschereau were also arrested and committed by the same authority on the same charges. The Commander in Chief in Scotland gave an elegant dinner at head-quarters on the 4th curt. to celebrate the King's birthday-day–at which several of the Nobility and Gentry Generals and Field-Officers of the army were present. Among the other accidents that occurred on the King's birth-day from the imprudent use of gunpowder is the death of girl in Richmond Street.– Her clothes were set fire by a squib and although immediately taken to the Infirmary was so severely burnt that she died before morning. A very melancholy accident happened at a place called the Pease Berwickshire. As one of the baggage carts of the Forfarshire militia was stopping there a fine boy about eight years of age belonging to Serjeant-Major Nicol got out of the cart and was climbing on the wheel when the horses suddengoing off threw him on the ground and the wheel passing over his body crushed him to death. The unfortunate mother was upon the cart when this unhappy accident happened. On Thursday night a spirit shop in Gibson-street Glasgow was broken into and about five pounds in silver a seven shilling piece about eight shillings of copper a counterfeit half-guinea and a pocket-book containing some bills and papers carried ; some partial payments are marked on the bills. The villains appear to have entered the shop by forcing up the window shutter with an iron bar and then breaking a pane of glass by which they got the iron bolts and the window opened. On Saturday last a porter was killed in the hold of a vessel in Dundee harbour. He was engaged unloading coals ; and the rope by which the iron pully was supported giving way the measure fell down upon him and killed him instantly. A few days ago a mason of the name of Stevenson was killed by the blowing up of some stones at Templeton in the parish of Auchterhouse. The match unfortunately communicated too early to the powder and the explosion took place before he could get out of the way. He has left a wife and two children to lament his loss.  
ID105,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1812,10,03,inform,Upper Canada York July 28. Yesterday at an early hour his Honour Isaac Brock Esq. administering the Government of Upper Canada and Major-General commanding his Majesty's forces therein arrived at this place from Fort-George and accompanied by a numerous suite proceeded to the Government Building at four p.m. when he opened the present extra session of the Legislature and delivered the following speech to both houses :– Honourable Gentlemen of the Legislature Council and Gentlemen of the House of Assembly The urgency of the present crisis is the only consideration which would have induced me to call you together at a time when public as well as private duties elsewhere demand your care and attention. But Gentlemen when invaded by an enemy whose avowed object is the entire conquest of this province the voice of loyalty as well as of interest calls aloud to every person in the sphere in which he is placed to defend his country. Our militia have heard that voice and have obeyed it ; they have evinced by the promptitude and loyalty of their conduct that they are worthy of the King whom they serve and of the constitution which they enjoy ; and it affords me particular satisfaction that while I address you as Legislators I speak to mean who in the day of danger will be ready to assist not only with their counsels but with their arms. We look Gentlemen to our militia as well as to the regular forces for our protection ; but I should be wanting to that important trust committed to my care if I attempted to conceal (what experience the great instructor of mankind especially of legislators has discovered) that amendment in our militia laws is necessary to render them efficient. It is for you to consider what further improvements they still may require. Honourable Gentlemen of the Legislative Council and Gentlemen of the House of Assembly From the history and experience of our mother country we learn that in times of actual invasion or internal commotion the ordinary course of criminal laws has been found in adequate to secure his Majesty's Government from private treachery as well as from open disaffection ; and that at such times its Legislature has found it expedient to enact laws restraining for a limited period the liberty of individuals in many cases where it would be dangerous to expose the particulars of the charge ; and although the actual invasion of the province might justify me in the exercise of the full power reposed in me on such an emergency yet it will be more agreeable to me to receive the sanction of the Houses. A few traitors have already joined the enemy–have been suffered to come into the country with impunity–and have been harboured and concealed in the interior ; yet the general spirit of loyalty which appears to pervade the inhabitants of this province is such as to authorise a just expectation that their efforts to mislead and deceive will be unavailing– The disaffected I am convinced are few–To protect and defend the loyal inhabitants from the machinations is an object worthy of your most serious deliberations. The speech concludes with a call for supplies. Proclamation The unprovoked declaration of war by the United States of America against the united kingdom of Great Britain and Ireland and its dependencies has been followed by the actual invasion of this province in a remote frontier of the western districts by a detachment of the United States. The officer commanding that detachment has thought proper to invite his Majesty's subjects not merely to a quiet and unresisting submission but insults them with a call to seek voluntarily the protection of his Government. Without condescending to repeat the illiberal epithets bestowed in this appeal of the American Commander to the people of Upper Canada on the administration of his Majesty every inhabitant of the province is desired to seek the confutation of such indecent slander in the review of his own particular cirumstances. Where is the Canadian subject who can truly affirm to himself that he has been injured by the Government in his person his property or his liberty? Where is to be found in any part of the world a growth so paid in prosperity and wealth as this colony exhibits? Settled not thirty years by a band of veterans exiled from their former possessions on account of their loyalty not a descendant of these brave people it to be found who under the fostering liberality of their Sovereign has not acquired a property and means of enjoyment superior to what were possessed by their ancestors. This unequalled prosperity would not have been attained by the utmost liberality of the Government or the persevering industry of the people had not the maritime power of the mother country secured to its colonists a safe access to every market where the produce of their labour was in request. The unavoidable and immediate consequence of a separation from Great Britain must be the loss of this inestimable advantage and what is offered to you in exchange? To become a territory of the United States and share with them that exclusion from the ocean which the policy of their Government enforces ; you are not even flattered with a participation of their boasted independence ; and it is but too obvious that once exchanged from the powerful protection of the United Kingdom you must be re-annexed to the dominion of France from which the provinces of Canada were wrested by the arms of Great Britain at vast expence of blood and treasure from no other motive than to relieve her ungrateful children from the oppression of a cruel neighbour ; the restitution of Canada to the empire of France was the stipulated reward for the aid afforded to the revolted colonies now the United States ; the debt is still due and there can be no doubt but the pledge has been renewed as a consideration for commercial advantages or rather for an expected relaxation in the tyranny of France over the commercial world. Are you prepared inhabitants of Canada to become willing subjects or rather slaves to the despot who rules the nation of Europe with a rod of iron? If not arise in a body exert your energies co-operate cordially with the King's regular forces to repel the invader and do not give cause to your children when groaning under the oppression of a foreign master to reproach you with having too easily parted with the richest inheritance of this earth–a participation in the name character and freedom of Britain. [The proclamation concludes with a declaration that should the Americans refused quarter in consequence of Indians being found in Canadian ranks that a severe and rigorous retaliation will take place.] Isaac Brock Major-Gen. and President Head-quarters Fort George July 22 1812.  
ID106,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1812,10,03,inform,Quebec Papers Provincial Parliament of Lower Canada Legislative Council –Aug 1. This day at two o'clock his Excellency the Governor in Chief went in the usual state to the Legislative Council Chamber and being seated on the Throne the Gentlemen Usher of the Black Rod was sent to command the presence of the Assembly which being come up the Honourable Speaker of the Assembly said– May it please your Excellency His Majesty's faithful subjects the representatives of the province of Lower Canada have passed a bill intituled An Act of facilitate the Circulation of Army Bills. Their loyalty and the happiness of this province in being connected with and powerfully protected by the British nation are the basis of their constitution and the just grounds which gave rise to the formation of the militia and the firm determination to defend this country against the unexpected and unjust war that the United States have lately declared ; they are therefore under the greatest obligation to your Excellency for having communicated to them your wise precautions on the means to ameliorate and insure for several years the punctual payment of the army by circulating bills the reimbursement of which is guaranteed in England. To give them greater credit the bill limits the sums necessary and moreover provides for the interest the advantages accruing therefrom and even for the payment of the principal in specie in this province which has become expressly bound for the same at a fixed period to any person whatever who from the state of his private affairs would prefer such payment. In full confidence that under the present and any unforeseen circumstance your Excellency is invested with all necessary authority the representatives of the province and their constituents rely on the wisdom already experienced of your administration and in the name of the Commons of Lower Canada I have the honour to present this bill to your Excellency humbly requesting thereto his Majesty's assent. His Excellency was pleased to signify the Royal assent. His Excellency then addressed both Houses and the Provincial Parliament was prorogued to the 16th of September.  
ID112,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1814,05,26,inform,A proclamation issued by Governor Macquarrie appears in the Sidney Gazette of 14th May stating that Peter Mills Acting Deputy Surveyor of Lands at Port Dalrymple Van Dieman's Land and George Williams Acting Deputy Commissary of Stores and provisions at the said settlement had absconded from their habitations and fled to the woods ; that their object was to live by rapine and violence ; to effect which they had armed themselves and taken the command of a gang of 26 desperadoes with whose aid they had committed numerous robberies–entering the lands of settlers driving away their cattle and plundering their houses. The proclamation declares that those who shall return to their houses and occupations before 1st December next shall be pardoned and saved harmless from all offences except the crime of wilful murder ; and denounces those who shall disregard this offer as outlaws. Sydney New South Wales Jan. 4. The Argo has arrived with a most extensive supply of tea viz 167 chests of souchong 200 ditto bobea 200 hyson skin and young hyson 50 ; in all 617 chests. The consequences has been a reduction in the price of souching from 30s to 5s per lb currency. Shortly prior to the Argo's departure from the Island of Mauritius the Hope American ship laden with tea and sundies valued at L80000 was captured by his Majesty's sloop Harpy Captain Allen. In consequences of the oppressive conduct of several masters of colonial and British ships and of their crews towards the natives of New Zealand of Otaheite and of the other islands in the South Pacific Ocean which have led to the destruction of several vessels with their crews by the natives and disturbed all trade and intercourse with those islands both by British shipping and that ofthe allied powers–his Excellency has forbidden any vessel to clear out from any place in New South Wales without a bond given by the master or owner to the naval officer for the time being at the port for L.1000 sterling binding him and his crew not to commit any act of hostility or to be guilty of any trespass or forment any animosities between the natives or take any part in any war that may prevail ; nor forcibly carry away any male or female inhabitants of the islands under penalty of forfeiting the sum specified in the bond. A small party who a short time ago undertook[?] a land passage in a direction towards Broken Bay for the purpose of ascertaining the nature and fertility of the country have discovered an excellent grazing track of 8000acres. In consequence of which one gentlemen Mr Robert Campbell has already sent thither an extensive herd of cattle and this example is likely to be followed by others. Thomas West who came to this colony a convict for life in the ship Earl Cornwall's[?] in 1801 has received from his Excellency a conditional pardon in consideration of his general good conduct and character for sobriety and industry and also in consideration of his having lately erected a water mill for the grinding of grain at Barcorn Glen within two miles of Sydney being the first water mill ever erected in the vicinty of this town. Sydney New South Wales May 21. The good understanding between the natives and our settlers which had been maintained for the last six years has given place to frequent outrages attended with fatal consequences. On Saturday a body of 60 natives commenced plundering the fields of a settler when three privates of the veteran battalion fired upon them and killed a boy. The narushed upon them before they could load again and killed on private Isaac Eustace and compelled the other two to fly. They then plundered the ground of Messrs Milehouse and Butcher. Next day a party of 14 soldiers falling in with them shot a woman and two children–the savages attacked William Baker a stock-keeper of Mr MacArthur killed the man and two women named Sullivan and Herburg. Sydney New South Wales Feb. 12. On Monday last arrived the ship General Hewett Captain Earle from England having a detachment of the 46th regiment commanded by Major Oglivie ; and yesterday arrived the Windham Captain Bligh also from England having on board the head-quarters of the 46th regiment commanded by Lieutenant-Colonel Molle who succeeded Lieutenant-Colonel O'Connell as Lieutenant-Governor of the territory and is accompanied by Mrs Molle and family ; also Lieutenant Walters of the navy agent for transports– Of the 300 convicts which the General Hewett received on board 35 died on the passage.  
ID123,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1818,01,19,inform,Extract of a letter from the agent to at the Cape of Good Hope dated 15th Nov. 1817: – The following most daring instance of piracy was committed in our harbour on the 11th inst. viz.– The Elizabeth White lying at anchor off Robin Island with about 120 tons of oil on board was boarded at about one a. m. by a party of armed deserters from his Majesty's 10th regiment and convicts about 12 in number i. e. five soldiers and seven convicts who after securing the hatches &c. obtained possession of the ship and in the same instant cut the cables loosed the sails and favoured by a strong S. E. wind succeeded in carrying her off at six a.m. The captain and crew having refused to listen to their invitation to join them in their piratical undertaking with the exception of the mate were permitted to leave the ship in the boat which reached Robin Island in safety about four o'clock the same day. By a letter received to-day we learn that the Admiral Gambier Brash laden with Government stores for Ceylon was totally lost on the morning of the 20th of June last having struck on the reef Roan de Nova in the Mozambique Channel ; crew saved. A letter from Halifax dated the 27th Nonember says – Colonel Bouchette Surveyor - General of Lower Canada with Captain Campbell of the 60th regiment and Mr Bouchette jun. arrived here on the 19th inst. The only information I can yet give you is that the exploring survey has been extended from the source of the St Croix river to the river Restigouche in line about 100 miles ; in this short distance both parties experienced difficulties and sufferings of the severest nature. The Americans employed on the same line with our English Commissioners are represented as men of great ability and acting with that spirit of liberality that infuses confidence on each side rendering their arduous task less severe and gloomy than was to have been expected in thie untrodden wilds of this quarter. Our trade continues dull and money scarce. Government bills are 3 per cent advance but expected to be lower in consequence of the Commissary-General having refused to take the provincial notes. Fire in Sheerness Dock-Yard –On Friday night about half-past nine o'clock this place was thrown into the greatest consternation by the ringing of the alarm bells in the dock-yard the beating of drums and the firing of the men of war's guns. It was occasioned by a fire having broken out in the house belonging to the steam engine erected for carrying on the new works situated in the southern part of the dock - yard near the kilns used for burning cement stone. The most serious apprehensions were entertained for the safety of the arsenal ; and what was more distressing to the feelings of the spectators was its coniguity to the workhouse which from the pressure of the times and want of employment is crowded with many unfortunate individuals. Providence however averted the impending danger and about twelve o'clock we had the pleasure of seeing the raging flames subdued with only the loss of the engine-house. No lives it is understood have been lost but one poor man is severely hurt. Captain Walker of the Northumberland and the officers of that ship Liutenant Griffin of the Swan cutter and Captain Brown and the officers of the Ordinary with the military officers and soldiers of the garrison assembled on the first alarm. The latter were under arms the whole time and were of great service in keeping off the spectators. The inhabitants of the twon were at one time under serious apprehensions as the fire was not far from the Fountain tavern and the residence of Mr Miller in High Street. At the former the landlady of the house had but recently lain in and was removed on the first alarm being given. Sir Robert Barlow from Chatham who superintends during the absence of Commissioner Boyle was here yesterday to investiage into the cause which it is suspected arose from carlessness – The damage however has not been so great as was at first expected and which it might have been but for the prompt and effectual assistance that was given – Sheerness January 11  
ID124,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1818,01,19,inform,New York and other American papers have been received to the 20th December: – In the house of Representatives on the 9th Mr Johnson brought forward a series of resolutions relative to the military establish the principal of which is the following: – That the military peace establishment of the United States shall consist hereafter of eight thousand men including the corps of invalids. Provided that the corps of engineers the General Staff and Ordnance Department shall be retained as at present established. Provided also that no part of the army shall be disbanded in consequence of said reduction but the same shall be effected by permitting vacancies as they occur to remain – That it is expedient to provide by law for an additional national armoury to be located on the western waters. That it is expedient to organise by law a corps of invalids to be composed of one thousand men. The following resolution relative to foreign seamen was also proposed and adopted without opposition : Resolved. That the Committee of Commerce and Manufactures be instructed to inquire into the expediency of providing by law for the apprehending and securing foreign seamen deserting from foreign vessels while in the ports of the United States contrary to their engagements to serve on board such vessels.  
ID127,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1818,07,16,inform,Canada Papers from Upper Canada contain the draft of a petition to the Prince Regent founded on the resolutions adopted in the province of Niagara where some discontent has been manifested. The first part is as follows:– To his Royal Highness George Prince of Wales Regent of the United Kingdom of Great Britain and Ireland &c. the humble Address of the Inhabitants of Upper Canada May it please your Royal Highness The subjects of your Royal Father dwelling in Upper Canada should need no words to give assurance of their loyalty if the whole truth had reached the throne of their Sovereign. His subjects have reason to believe that the truth has not been told. During three years of war Upper Canada was exposed to the ravages of a powerful and inveterate foe. The Government of the United States had been long concerting the invasion of this province. Hostile preparations against it had been long masked under other designs ; and at last the accumulated torrent of violence burst on the defencless children of the British empire. Nor were they assailed by the weapons of war alone ; an invidious proclamation preceded those host of the enemy forgetful of honour regardless of humanity and daring to seduce the subjects of Britain from their true allegiance. The subjects of Britain remained dauntless and firm. It was not for their property that they rose against their invaders ; the invader would have spared to them their property. They flew to arms in defence of the rights and sovereignty of Britain. Twice has the American standard been planted in Upper Canada while yet but a handful of British troops aided the native battalions wave the laurel of victory over the protrate intruders on their soil. The second year of war saw Canada contending with yet little assistance from the parent state. The second year of the war saw her sons confirmed in their virtue and still more determined to resist. Wives and children had fled from their homes ; the face of the country was laid waste and the fire of revenge was sent forth to consummate distress and misery ; still was the spirit of the people unextinguished still did it burn with patriotism and loyalty. By the third year every risk of conquest was at an end for now the British aid poured into the provinces and peace was proclaimed when war was no longer to be feared. It is now more than three years since there was an end of war but strange to say these years of peace have manifested no appearance of affection or care from the mother country to the Canadas. Commercial treaties have been made altogether neglectful of British interests here. Government transactions which used to give spirit to trade and are at a stand; troops are withdrawn ; fortifications are suffered to go to ruin ; and rumours are abroad too shocking to be repeated in the Royal ear. May it please your Royal Highness to listen calmly to the complains and grievances of the people of Upper Canada who are fully assured that your Royal Highness has been kept ignorant of most important truths ; who are well assured of the generous disposition of your Royal heart and of your desire that British subjects should every where share equally you paternal regard an affection. It was a matter of much provocation to the people of the province to see even during the war which afforded such striking proofs of their loyalty and valour reports went home highly rating the merits of regular troops while the tribute due to Canadian levies were unfairly set down may the principles of the most loyal subjects here were often stigmatised by British officers ignorant of human character and still more so of circumstances which affect it in this part of the world. It was not so with the immortal Brock. He justly appreciated Canadian worth and his memory will happily long cherish in the minds of the Canadian people a due regard for the genuine spirit of a British solider at once generous and brave. The loyal inhabitants of Upper Canada would disdain to notice the misrepresentations of individuals so contrary to notorious truth if these had not obviously conspired with other causes to lessen the regard which should subsist between British subjects here and at home to influence the conduct of Ministers towards the general interests of the province. The loyal subjects of his Majesty in Upper Canada suffered grievously during the war in their property and many were bereft of their all. A solemn investigation on this subject took place ; the claims of the sufferers were authenticated and there was every reason to expect that recompence would immediately follow ; yet nothing has followed but delay and insult. Surely if there is among mankind a single principle of justice that is one that the individuals of a nation ought not partially to bear the weight of public calamity. Surely individuals who have exposed their lives for Government should not be disgusted with finding Government regardless of those very principles which it is intended to sustain. The people of this province are well aware that their fellow subjects at home are pressed hard with taxations and far it is from their wish that relief should be afford from thence. Canada contains within itself ample means of exonerating Government from the claims of sufferers by war ; and it is within the fiat[?] of your Royal Highness to remove by a signle breath the evil now justly complained of. Millions of acres of fertile lands lie here at the disposal of your Royal Highness upon the credit of which under proper management not only the fair claims of loyal sufferers could be instantly advanced but vast sums could be raised for the improvement of the provinces and the increase of revenue to Britain. Another grievance manifesting the neglect of Government to the concerns of Upper Canada is equally notorious and must be still more abhorrent to the general feelings of your Royal Highness. The young men of this province who were armed in its defence had for their spirited conduct the promise of their commanders that land would be granted them as a reward for their services as soon as war was terminated ; and after this promise was universaly confided in the Parliament of Upper Canada passed an extraordinary law in the face of established British principles that militia should pass beyond the frontier. With these promises and in obedience to this law the militia passed beyond the frontier with alacrity ; yet since the peace the greater part of them had been denied the pledge of their extraordinary services and the land is unjudtly withheld. The petition further states that such ingratitude such dishonour such errors in policy could not exist without extraordinary influences and it recommends most important changes equally for the glory of the throne and benefit of the subject. It says that the scandalous abuses came some years ago to such a pitch of monstrous ingratitude the the home Ministers wisely imposed restriction on the Land Council of Upper Canada. It seems however that all this was insufficient and that confusion on confusion has grown out of this unhappy system. Upper Canada it is now said pines in comparative decay and that discontent and poverty are experienced in a land supremely blessed with the gifts of nature. It is insisted that the immediate interference of his Royal Highness might do much to remove the evils which spring from the system of patronage and favouritism and it asserts that the interposition of the British Parliament is more imperiously required. It concludes as follows:– Deeply penetrated with these sentiments and most seriously inclined to have changes speedily effected the loyal subjects of Great Britain dwelling in Upper Canada now take the extraordinary step of sending home Commissioners to bear this to the throne and humbly intreat your Royal Highness to give ear to the details which it will be in their power to relate: above all that your Royal Highness would immediately send out to this province a commission consisting of discreet and wise men men of business and talent who shall be above every influence here and who may be instructed to make inquiry into all the sources of evil.  
