Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text
ID17,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,07,inform,Yesterday some dispatches were received from St. Kitt's which were brought over in the Matthew Capt. Slegg arrived in the Downs which are dated the 10th of June : they contain an account of all the merchant ships which were then at that island ; that they were nearly full and were fixed to sail from thence the 26th of July and the first of August ; and that the weather continued exceedingly fine.  
ID33,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,11,inform,Extract of a letter from a gentleman in America to his friend in Greenock . No doubt Sir you have been expecting this some time a remittance in money for your goods; but as part of them is still on hand I could not properly answer you in cash or bills ; however if you will accept of wheat in return it shall be immediately sent you ; for our wheat crop has been so plentiful that we can supply you with many thousand bolls of an eceeding fine quality ; and to my knowledge there are several ships loading for your market at present.  
ID36,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,14,inform,Orders are sent to Plymouth for the Echo sloop of war Capt. Drew lately arrived from Newfoundland and now lying in the Sound to get ready for sea and proceed with all possible dispatch to New York–to acquaint the American Merchants that the British ports are open for the importation of American wheat :–It is to be hoped this salutary measure will reduce the present high price of wheat and flour.  
ID38,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,14,inform,This day arrived a mail from New-York brought to Falmouth by the Sandwich packet in thirty-three days.  
ID43,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,12,18,inform,This morning arrives a mail from Jamaica which was brought over in his Majesty's packet the Roebuck after a passage of 54 days.  
ID82,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,11,29,inform,Extract of a letter from Dublin Nov. 23. The drafts at Cork yesterday received the agreeable orders to return to their respective regiments immediately. The officers appointed to raise independent companies in Ireland have received orders to repair forthwith to England with whatever complement of men already entered but not to proceed with the completion of their number : in conference to this order they are preparing for their immediate departure. Last Tuesday two eminent merchants of this city received orders by way of a vessel arrived at Cork from Mess de Fouseca Olivarez and Co. at Seville for the immediate exportation of cotton white linen and mixed goods to a very large amount. Monday evening the Elizabeth and Mary Mark Purcell master arrived at Waterford from Annapolis in Maryland after a long and dangerous passage of 52 days in which they had nearly exhausted the whole of their provisions having been a very short allowance of half a naggin of rum diluted with one pint of bad water for twenty-four hours. She is heavy laden having on board six hundread hogsheads of tobacco a large quantity of pipe staves barrel hoops &c. and has been expected more than two months. Eight per cent was offered as insurance on ship and cargo but refused on account of the then probability of a war.  
ID144,Aberdeen Journal,Aberdeen,Scotland,United Kingdom,1819,06,02,inform,Colonial Intelligence Advices have been received again from the Cape of Good Hope of 6th March which are several days later than those acquired formerly. Of the rising of the Caffres there remains no doubt although it does not appear that Government have as yet received official information regarding it. The private accounts state that two valuable officers had lost their lives and also a great number of men. The Governor himself in order by his presence the sooner to suppress the Caffres had with a competent force proceeded to the interior. Great inconvenience was experienced for the want of cavalry in so extensive a country ; had not this been the case it was believed that in a very few days tranquility would have been restored. We are sorry to state that another hurricane has taken place in the Isle of France ; it commenced on the 25th January and has done great mischief to the shipping and also to the plantations of that ill-fated Island. A Dutch mail has arrived with papers to the 19th inst. At Batavia two of the leaders of the late disturbances have been tried and execute and that degree of tranquility which terror produces has been restored. In the administration of their colonies in the east the conduct of the Dutch has always been cruel and oppressive ; and it is to be regretted that the extensive and fertile island of Java should have been surrendered to their rapacity. During the short time that it was in possession of this country various important improvements were introduced into its domestic administration ; the practise of torture according to the humane and enlightened maxims of British jurisprudence was abolished ; new and better modes of collecting the revenue were adopted ; and a spirit of mildness and of regard for the interests of all the various classes of which the population is composed was evinced which made the British Government highly popular. Considerable anxiety prevails among the merchants for the safety of the Queen Charlotte Jamaica packet. She sailed from Jamaica the 29th March and had a great quantity of specie on board. No things have since been received of her. Several vessels sailed since her departure and have arrived safe. The Ocean quitted Jamaica on the 6th of April and arrived here several days since. Several passengers landed at Portsmouth on Thursday from Jamaica bring Port Royal Papers to the 25th of March. The 50th Regiment had arrived at Kingston from Cork ; and the 2nd West India Regiment was about to embark for Sierra Leone to be disbanded.  
ID165,Glasgow Herald,Glasgow,Scotland,United Kingdom,1820,05,22,inform,Extract of a letter received from Calcutta dated 22d November 1819:--An afflicting circumstance has recently taken place. The Captain of the Bengal a Liverpool trader very lately gave a ball on board his ship which was about to sail for England. The party was very small and more than half were taken ill with a violent fever immediately afterwards. I buried the Captain and the Surgeon a few days after it; not less than ten of the part died within as many days all younger persons. Only one officer survives of those who left England in the ship and he is just recovering in the Hospital. All sorts of conjectures were made but it turns out that there were 17000 undressed buffalo horns in the hold in a complete state of putrefaction. This vessel has sailed for England in this state without a Surgeon. I question whether it will ever arrive; it ought not to be admitted among other shipping if it does;–the opening of the hold will be death to him who does it and perhaps to many more.--In consequence of this disastrous information Ministers have issued an order for the vessel on her arrival at Liverpool or any other part to undergo quarantine.– London Paper. All apprehension on the above subject is completely done away by the following letter from Liverpool May 14:– I noticed a paragraph in the London papers respecting the Bengal of this port at Calcutta stating that a number of deaths had taken place supposed in consequence of the Infectious vapours arising from some buffalo horns.–The Bengal arrived here April 5 and has been discharged without any of those dreadful consequences which the medical gentlemen of Calcutta prognosticated.–I should rather suppose that the fatal consequences which ensued to those individuals who attended the ball given on board this vessel at Calcutta would be none justly attributed to the exposure to night air.  
ID169,Aberdeen Journal,Aberdeen,Scotland,United Kingdom,1820,07,12,inform,Maritime Intelligence The Jane Drummond of Liverpool arrived at Savannah was plundered on the 22d April in [?] 34 10. long. 41. 21. of all her specie 20500 dollars stores provisions &c. by a Spanish ship of 300 tons armed with 14 guns and two stern chasers and full of men. She was supposed to have been out two or three months from Cuba. She had a yellow waist woman head painted black and was coppered to light water mark. Intelligence from Marseilles dated 22d inst. states –' An English Captain who left Oran on the 13th inst. and arrived yesterday in this port has declared that a squadron of five armed ships which he was assured were destined for the North Seas sailed from Algiers at the beginning of the present month. A vessel the Prompt sailed on Tuesday evening from Greenock for Quebec having on board emigrants from Anderston Rutherglen Lesmahogow and Lanark to the number of about 350 persons. The Rev. Mr Easton of Montreal goes out with the Prompt. The Hibernia M'Eachren from the Clyde to Buenos Ayres was totally lost the 15th April near Maldonado. Crew saved. Discovery of a New Island off Cape Horn A new island has been discovered off Cape Horn in inst. 61 deg. long. 55 deg. by the ship William on a voyage from Monte Video for Valparaiso. The same having been dispatched by Captain Sheriff of the Andromache frigate to survey the coast had explored it for 200 miles. The captain went ashore found it covered with snow and uninhabited. Abundance of seals an whales were found in its neighbourhood. He has named the island New Shetland. Accounts from Constantinople dated May 26 annouce that the armaments against Ali Pacha are upon the most formidable scale and are actively pursued.– The latter has obtained hostages of his principal officers as pledges of their fidelity. On the 14th two new ships of the line were launched in the presence of the Sultan and his Grand Dignitaries at the hour fixed by the chief astrologers. The navigation between Bagdad[?] and Bassurah has been free since the defeat of the Arabs by the English. The latter it is stated have facilitated the intercourse between those two places by the establishment of parket-boats.  
ID188,Scotsman,Edinburgh,Scotland,United Kingdom,1822,10,19,inform,On Monday 14 instant the ship Andromeda of London James Muddle master sailed from Leith Roads for New South Wales with 67 passengers all of whom are very respectable people. The vessel has on board a full cargo of merchandise and a great number of agricultural implements.  
ID213,Scotsman,Edinburgh,Scotland,United Kingdom,1829,07,25,inform,Swan River. –The fine ship Gilmore purchased by Mr T. Peel brother to the Secretary of State for the Home Department proceeded down the river on Saturday on her voyage to Swan River. The Gilmore quitted the St Catherine Docks in the course of Friday having on board an excellent assortment of every requisite which may be required to form the new settlement. Mr Thomas Peel has had the Gilmore which is of 500 tons burthen under his own inspection as well as the selection of the agricultural and other implements to convey to the Swan River. There were many passengers on board. Mr Peel and his family it is understood will join the vessel at Plymouth. In the vessel there are also going out other settlers. The Hooghly another ship of 500 tons burthen chartered by the same individual is not yet quite ready for her voyage. Among the valuables sent out to Swan River are some fine race-horses intended for breeding in the settlement from whence India will be supplied should the settlement answer.– Sunday Times.  
ID218,Scotsman,Edinburgh,Scotland,United Kingdom,1830,11,10,inform,Messrs Marshall have made a most interesting addition to their beautiful Panorama of Botany Bay Algiers &c. of several Views illustrative of the principal events of the late Revolution in Paris and from the brilliant and effective style in which they are got up must draw the attention of the Public in no ordinary manner.  
ID220,Scotsman,Edinburgh,Scotland,United Kingdom,1831,06,04,inform,The brig Stirling Castle Captain Fraser sailed from Greenock on Wednesday morning for Sidney New South Wales having on board the Rev. J. D. Lang minister of the Scots Church in Sydney and two other Presbyterian Ministers ordained to new stations in that colony ; also three Professors intended for which a liberal Government grant has been obtained. There are also on board above 40 respectable mechanics with their families consisting chiefly of joiners masons and others required for the building of the College and a good many of whom are fromthis town making the number of passengers in all about 140 of whom above 20 and cabin passengers.  
ID224,Scotsman,Edinburgh,Scotland,United Kingdom,1832,03,03,inform,Leith Extensive preparations are already begun amongst e[?] shipping for the various Spring voyages to distant ports[?]. Six vessels are advertised for America one for Van Dieman's Land and New South Wales and the whalers[?] are unfurling their canvass and will sail for the [?] regions on Monday or Tuesday first. The departure of these ships will give the docks a naked appearance the more apparent from the few foreign vessels present here.  
ID230,Scotsman,Edinburgh,Scotland,United Kingdom,1833,08,03,inform,On Tuesday thirty-one male convicts were embarked at Leith for the hulks in the Thames preparatory to their transhipment for New South Wales except those in whose cases a commutation of punishment may take place.  
ID238,Scotsman,Edinburgh,Scotland,United Kingdom,1834,06,18,inform,The ship Numa Captain Day sailed from Leith road yesterday forenoon with a full cargo of goods and 37 passengers for Van Diemen's Land and New South Wales.  
ID244,Scotsman,Edinburgh,Scotland,United Kingdom,1834,09,24,inform,The St Nicholas Morgan which has arrived off Aberdeen from Bathurst New South Wales reports that timber was very scarce ; that the woods between that town and Miramichi were on fire ; that 250 tons of cut timber had been burnt and the people in the woods had been obliged to abandon their camps and fly to save their lives. The thermometer at Bathurst was from 85 to 90.  
ID269,Scotsman,Edinburgh,Scotland,United Kingdom,1837,07,09,inform,Highland Emigrants. –The ship Midlothian has just been fitted up at Leith for the reception of Highland emigrants which she is to take in at the Isle of Skye for Sydney New South Wales. These emigrants are we believw to be carried out at a very small cost to themselves the largest portion of the passage money being paid by Government out of the land revenue of New South Wales which is exclusively appropriated towards the encouragement and promotion of emigration–the objects in view being as well the relief of those districts in this country which are suffering from the want of employment and subsistence as by the introduction into that colony of a body of well disposed and virtuous free emigrant families and individuals the promotion of the moral welfare of the colonists generally. The emigrants will we believe receive employment in New South Wales as farm-servants shepherds overseers &c. We had a brief inspection of the Midlothian on Monday afternoon and found it to be a very fine vessel fitted up in a manner the most comfortable and convenient that could well be effected. She sails this afternoon from Leith to the Isle of Skye.  
