Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text
ID82,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,11,29,inform,Extract of a letter from Dublin Nov. 23. The drafts at Cork yesterday received the agreeable orders to return to their respective regiments immediately. The officers appointed to raise independent companies in Ireland have received orders to repair forthwith to England with whatever complement of men already entered but not to proceed with the completion of their number : in conference to this order they are preparing for their immediate departure. Last Tuesday two eminent merchants of this city received orders by way of a vessel arrived at Cork from Mess de Fouseca Olivarez and Co. at Seville for the immediate exportation of cotton white linen and mixed goods to a very large amount. Monday evening the Elizabeth and Mary Mark Purcell master arrived at Waterford from Annapolis in Maryland after a long and dangerous passage of 52 days in which they had nearly exhausted the whole of their provisions having been a very short allowance of half a naggin of rum diluted with one pint of bad water for twenty-four hours. She is heavy laden having on board six hundread hogsheads of tobacco a large quantity of pipe staves barrel hoops &c. and has been expected more than two months. Eight per cent was offered as insurance on ship and cargo but refused on account of the then probability of a war.  
ID95,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1793,07,29,inform,A great number of white people and white families have been killed and scalped by the Indians in the back settlements of America. Among the killed and scalped is Mr. Pugh son of Colonel Pugh. The Indians are determined on war with the Americans. They are headed by Gilpin the successor of M'Gillivray and have already commenced hostilities on the back settlements of Carolina.  
ID104,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1812,08,29,inform,Montreal July 4 This city has been for a few days past in a state of agitation occasioned by an event which has taken place at Pointe Claire ; and as this matter will be clothed no doubt in all the dress of misrepresentatation by our neighbouring enemies from the information they may receive of it we consider it a duty we owe to the community at large in this country to state the circumstances as they occurred in a fair open and candid manner. By the late militia law 2000 young men are to be drafted from the general militia of the province for three months to be properly trained and of course a certain proportion of this number is to be furnished by each particular district. Some those drafted from the Parish of Pointe Claire refused to march to Lapraire for the purpose of joining the division stationed there ; in consequence of which Major Leprohon belonging to this particular battalion was sent on Tuesday last with 22 attendants to apprehend these refractory persons as deserters. They apprehended four with some opposition ; and on their way to town with them they were followed by a considerable number of persons who rescued one prisoner and threatened that they would next day proceed to the depot at Lapraire and bring away by force from thence the young men of the parish who were there on duty. Accordingly on Wednesday a large body of these people assembled at La Chine with the intention of carrying their threats into execution. Thomas M'Cord Esq. one of the Police Magistrates about four o'clock in the afternoon left town accompanied by the light infantry of the 49th regiment and a detachment of the royal artillery with two field-pieces under the command of Major Plenderleath and took post on a point opposite to the insurgents (consisting of about 400 persons 87 of whom appeared to be armed) and at the distance[?] of about two acres. Mr M'Cord with some other respectable citizens pointed out the impropriety of their conduct and the fate that would unfortunately await their perseverance ; urging them by every persuasion to disperse and return peaceably to their horses and obey the law. They replied that they did not consider the militia bill as fully passed–that they were informed it had not received the Royal sanction ; and that although it might have passed the House of Assembly where it originated it had not obtained the approbation of the other branches of the Legislate ; that the law if really enacted had not been promagated amongst them and that they were not properly made acquainted with it ; as such they could not pay obedience to it. Under this false and unfortunate impression these deluded people persisted ; but at the same time declared with shouts of Vive le Roi that if the Government wanted their services at any time they were ready one and all to come forward with their lives in the defence of their country and that they would prove themselves in the hour of danger to be faithful subjects to a Government to which they were firmly attached by every principle. Finding however that they still persisted in their determination on this particular object Mr M'Cord in his Magisterial capacity read the riot act to them and ordered them to disperse ; which not being complied with a round shot was fired by the artillery but elevated above injury which was returned by the insurgents in a spirited fire with ball deserving of a better cause. The troops then fired a volley with ball and grape but still too much elevated to do any harm which was also returned by another discharge from the mob upon which a few direct shots were fired at them (it being nearly dark) by the military which made them disperse and one man was found killed and another wounded it is feared mortally.  
ID105,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1812,10,03,inform,Upper Canada York July 28. Yesterday at an early hour his Honour Isaac Brock Esq. administering the Government of Upper Canada and Major-General commanding his Majesty's forces therein arrived at this place from Fort-George and accompanied by a numerous suite proceeded to the Government Building at four p.m. when he opened the present extra session of the Legislature and delivered the following speech to both houses :– Honourable Gentlemen of the Legislature Council and Gentlemen of the House of Assembly The urgency of the present crisis is the only consideration which would have induced me to call you together at a time when public as well as private duties elsewhere demand your care and attention. But Gentlemen when invaded by an enemy whose avowed object is the entire conquest of this province the voice of loyalty as well as of interest calls aloud to every person in the sphere in which he is placed to defend his country. Our militia have heard that voice and have obeyed it ; they have evinced by the promptitude and loyalty of their conduct that they are worthy of the King whom they serve and of the constitution which they enjoy ; and it affords me particular satisfaction that while I address you as Legislators I speak to mean who in the day of danger will be ready to assist not only with their counsels but with their arms. We look Gentlemen to our militia as well as to the regular forces for our protection ; but I should be wanting to that important trust committed to my care if I attempted to conceal (what experience the great instructor of mankind especially of legislators has discovered) that amendment in our militia laws is necessary to render them efficient. It is for you to consider what further improvements they still may require. Honourable Gentlemen of the Legislative Council and Gentlemen of the House of Assembly From the history and experience of our mother country we learn that in times of actual invasion or internal commotion the ordinary course of criminal laws has been found in adequate to secure his Majesty's Government from private treachery as well as from open disaffection ; and that at such times its Legislature has found it expedient to enact laws restraining for a limited period the liberty of individuals in many cases where it would be dangerous to expose the particulars of the charge ; and although the actual invasion of the province might justify me in the exercise of the full power reposed in me on such an emergency yet it will be more agreeable to me to receive the sanction of the Houses. A few traitors have already joined the enemy–have been suffered to come into the country with impunity–and have been harboured and concealed in the interior ; yet the general spirit of loyalty which appears to pervade the inhabitants of this province is such as to authorise a just expectation that their efforts to mislead and deceive will be unavailing– The disaffected I am convinced are few–To protect and defend the loyal inhabitants from the machinations is an object worthy of your most serious deliberations. The speech concludes with a call for supplies. Proclamation The unprovoked declaration of war by the United States of America against the united kingdom of Great Britain and Ireland and its dependencies has been followed by the actual invasion of this province in a remote frontier of the western districts by a detachment of the United States. The officer commanding that detachment has thought proper to invite his Majesty's subjects not merely to a quiet and unresisting submission but insults them with a call to seek voluntarily the protection of his Government. Without condescending to repeat the illiberal epithets bestowed in this appeal of the American Commander to the people of Upper Canada on the administration of his Majesty every inhabitant of the province is desired to seek the confutation of such indecent slander in the review of his own particular cirumstances. Where is the Canadian subject who can truly affirm to himself that he has been injured by the Government in his person his property or his liberty? Where is to be found in any part of the world a growth so paid in prosperity and wealth as this colony exhibits? Settled not thirty years by a band of veterans exiled from their former possessions on account of their loyalty not a descendant of these brave people it to be found who under the fostering liberality of their Sovereign has not acquired a property and means of enjoyment superior to what were possessed by their ancestors. This unequalled prosperity would not have been attained by the utmost liberality of the Government or the persevering industry of the people had not the maritime power of the mother country secured to its colonists a safe access to every market where the produce of their labour was in request. The unavoidable and immediate consequence of a separation from Great Britain must be the loss of this inestimable advantage and what is offered to you in exchange? To become a territory of the United States and share with them that exclusion from the ocean which the policy of their Government enforces ; you are not even flattered with a participation of their boasted independence ; and it is but too obvious that once exchanged from the powerful protection of the United Kingdom you must be re-annexed to the dominion of France from which the provinces of Canada were wrested by the arms of Great Britain at vast expence of blood and treasure from no other motive than to relieve her ungrateful children from the oppression of a cruel neighbour ; the restitution of Canada to the empire of France was the stipulated reward for the aid afforded to the revolted colonies now the United States ; the debt is still due and there can be no doubt but the pledge has been renewed as a consideration for commercial advantages or rather for an expected relaxation in the tyranny of France over the commercial world. Are you prepared inhabitants of Canada to become willing subjects or rather slaves to the despot who rules the nation of Europe with a rod of iron? If not arise in a body exert your energies co-operate cordially with the King's regular forces to repel the invader and do not give cause to your children when groaning under the oppression of a foreign master to reproach you with having too easily parted with the richest inheritance of this earth–a participation in the name character and freedom of Britain. [The proclamation concludes with a declaration that should the Americans refused quarter in consequence of Indians being found in Canadian ranks that a severe and rigorous retaliation will take place.] Isaac Brock Major-Gen. and President Head-quarters Fort George July 22 1812.  
ID107,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1812,11,09,inform,Extract of a letter from Montreal Sept. 25 Our Friend Mr – arrived in town from New York a few days ago. On his way he passed three days at Plattsburgh the head-quarters of the American army which from ocular observation he states to consist of 8 or 10000 men under the command of General Bloomfield Mooar and Petit. This force is composed of 3 or 4000 regulars about the same number of militia and some volunteers from the southward. The militia is almost all from the state of New York for the Yankees still refuse to march. with this force no doubt is entertained here but they will make an attack ; and if they mean to make it this season they must be prompt in their movements for the weather is getting cold and they are not well clothed or appointed. Mr – indeed states half of them to be without shoes or stockings which will never do for a winter campaign in this country. To repel the threatened attack we are making every preparation in our power and the Canadians seem well disposed to second the Government. Sir George Prevost has established a cordon the left of which is at Chambly and extending to Chateaguny ; the main encampment is half way between St John's and La Prairie. Colonel Murray is at St John's with a battalion ; and the Isle-auNoix is strongly fortified with a boom and a chain secured across the river. This line of defence is composed of four regiments of the line and 2000 drafted militia with a corps of about 400 Canadian voltigeurs raised last spring. The Royals a very strong battalion lately arrived from the West Indies are now marching to join the camp. The citizens both here and at Quebec mount guard and do garrison : indeed there are in this island (Montreal) five battalions of militia say 3 to 4000 men pretty well disciplined and who on an alarm could march to this cordon in half a day.– A new regiment of embodied militia has lately been formed by drafts from the different regiments of inrolled militia in this island and old Major Murray is appointed Lieutenant-Colonel. The gentlemen of the North-west Company army are forming a corps of their voyageurs who will be most useful troops to act in advance with the Indians. The number originally proposed was 200 but the men have come forward so handsomely that they are to consist of 500. Mr M'Gillivray is Lieutenant-Colonel Commandant of this corps Mr Shaw Major and the other partners of the Company are Captains and subalterns ; so that the men being commanded by those whom they have accustomed to obey may be considered as already disciplined at least in point of subordination. Sir George confines his operations to mere defence. La Motte with about 70 Indians advanced through the woods about ten days ago within hearing of this redoubtable army and set up a war whoop which so completely terrified them that though they could see no enemy they lay on their arms for two two successive nights in no expectation of an attack–to prevent which they cut down their best bridge and destroyed all the roads by which I suppose they mean to invade us. Mr – who was several days at their headquarters and who was offered the rank of Lieutenant-Colonel in the army has it is said proposed to Sir George to destroy their camp with 500 men ; and Sir George is said to have replied that his plan was fixed not to make any attack nor to send a man across the line. This forebearance which the Yankees impute to fear or weakness tends only to increase their insolent swaggering and their enmity is to inveterate to be allayed by any thing but hard knocks.  
ID108,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1813,10,16,inform,The Rota frigate arrived on Monday off Plymouth with a fleet from Halifax under convoy and passed up the channel with the chief part of the trade. From the Hydra transport which put into Plymouth we have received the following official notification of Sir James Yeo's success on Lake Ontario the American notices of which have already been published. Bulletin. Head-quarters Kingston Aug. 14. 1813 By accounts received from his Excellency the Governor in Chief and Commander of the forces from Commodore Sir James Yeo dated off York half-past one P.M. on the 11th instant the following particulars have been transmitted of the capture and loss of the enemy's armed schooners:– On Thursday evening last the 10th instant the enemy's squadron under the Command of Commodore Chauncey got under weigh from their anchorage off the mouth of Niagara River and with a fine breeze from the east stood towards our fleet which were becalmed off the port of Twelve Mile Creek. At sun-set a breeze coming off the land gave us the wind of the enemy when our squadron stood for them on which immediately bore away from us under as much sail as their schooners could carry to keep up with their larger vessels. The enemy's fleet formed a long. The Pike Madison Oneida and six schooners (two schooners were placed to windward for the purpose of raking the masts of our squadron as it should come up). At eleven the squadron got within gun-shot of the schooners when they opened a brisk fire and from their going so fast it was more than an hour before the Wolf our headmost ship could pass them ; at this time the rest of the squadron was two and three miles astern of the Wolf and on her coming up with the Madison and Pike they put before the wind and made sail firing their stern-chasers.– Sir J. Yeo finding it impossible to get the squadron up with the enemy as the Wolf was the only ship which could keep up with them then made sail between them and the two schooners to windward which he captured and which are called the Julia and Growler each carrying one long 32pounder and long 12-pounder and 40 men.– Two of the enemy's largest schooners the Scourge of 10 and Hamilton of nine guns upset on the night of the 9th in carrying sail and all on board perished (about 100 in number). By this loss and capture the enemy's squadron are reduced to 10 vessels and our's increased to eight. It is ascertained that the Pike mounts 28 long 24-pounders and 420 men the Madison 22 long 32 pounders and 340 men. Boat loads of troops were taken on board the enemy's squadron on Monday last for the purpose it is supposed of repelling the boarders.– The Wolf has not received any material injury and not a person hurt. The prisoners were landed on the 11th instant and the Growler's damage repaired. She had lost her bowsprit and was otherwise cut up. Nothing could exceed the eagerness and enthusiasm of the officers and men in our squadron for a close engagement.  
ID109,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1813,10,07,inform,(From the Quebec Mercury.) Attack on Fort Schlosser. Head-quarters Kingston July 13. By accounts from the army under Major-General De Rottenburg dated the 9th instant the following particulars have been received of a bold and successful attempt to surprise the American post at Fort Schlosser. In the night of the 4th instant a party consisting of Volunteer Thompson and six privates of the 49th regiment under Ensign Winder and thirty-four of the militia the whole under the command of Lieutenant Colonel Clarke of the Lincoln militia crossed over in boats from Chippawa to Fort Schlosser which they reached a little before day-break and completely surprised the guard consisting of two Lieutenants one serjeant and eight privates whom they made prisoners together with three civilians and three of our own subjects found in the Fort.– The party remained in the Fort about one hour loading their boats form the public stores and wharf and brought with them one brass six-pounder 57 stand of arms two and a half kegs of musket ball cartridges 6 bulwarks of musket proof curtains for boats one gun-boat two batteaux 20 barrels of salt 17 casks tobacco eight barrels of pork and one barrel of whiskey with a number of spades oars and axes ; a small party of the enemy had collected as the last boast pushed off from the shore and several shots were fired but the boats returned to Chippawa with their prisoners and the articles they had captured without a man being hurt on this service. Further accounts have also been received from the army highly creditable to the Indian warriors serving with it. On the 8th instant a party of the King's regiment and a body of Indian warriors were sent to endeavour to recover a considerable quantity of medicines and surgical instruments which had been buried near the Fort George when our troops retired from it. A skirmish ensued in consequence between the Indians and the enemy in which the latter lost one officer and 20 men killed and 10 taken prisoners–the whole of the medicines and instruments were brought off by the party of the King's; the only loss sustained being three Indians wounded. Captain Norton led the Indian warriors with great spirit ; and much credit is due to Captain Merrit of the Provincial dragoons for reconnoitering the spot where the medicines were deposited and conducting the party to it. A few nights ago the barracks at Gravelly Point burnt by our gun-boats and more than 100 barrels of pork flour and other articles brought away from thence together with a very fine Durham boat–500 oars colleced and partly loaded in her for Sacket's Harbour being destroyed. Attack on Black Rock Head-quarters Kingston July 15 1813. G. O.–His Excellency the Commander of the forces has received a dispatch from Major General De Rottenburg reporting a successful attack upon the enemy's post and dockyard at Black Rock at daybreak on the morning of the 11th inst. by detachments of the King's and 41st regiments together with Liutenant Fitzgibbon's party of the 49th and about 40 militia the whole amounting to 240 men under the command of Lieutenant-Colonel Bishopp. The enemy's position was carried by a spirited attack without the loss of a single man. Several large boats loaded with stores and provisions and three field pieces a twelve and two six-pounders were brought away ; a vessel and all the naval store-houses and barracks have been burnt. Unfortunately before the evacuation of the post was completed a strong reinforcement of the enemy aided by Indians pressed this small detachment by which Captain Saunders of the 41st and 15 men were killed ; Lieutenant-Colonel Bishopp Lieutenant Montpesson of the 41st and 15 rank and file wound ed. The wounded were brought over. Lieutenant-Colonel Bishopp has received three wounds severe but not considered dangerous. By his Excellency's command Edward Baynes Adjutant-General British Expedition to Plattsburgh The following is an extract of a letter from a respectable citizen at Burlington dated Aug. 1. 1813 An express arrived at Burlington on the 30th July with intelligence that the British had left the Isle au Noix with a force consisting of the two armed sloops of 11 guns each and four gallies of one gun each and 100 batteaux full of men and had progressed within one mile of the town. The camp was instantly alarmed and the troops under arms but no enemy appeared. Next day we learnt that about 1000 troops under the command of Colonel Murray had landed and took possession of Plattsburgh without opposition there being no force to oppose them except the militia of the town and vicinity who being only 400 in number retreated as the enemy advanced. The arsenal belonging to the State Pike's encampment barracks at Serenac cantonment and every building belonging to the United States were immediately burnt. The enemy obtained both provisions and stores. The loss cannot be less than 50000 dollars. The enemy left Plattsburgh on the 1st and are understood to be proceeding this way ??? ??? ??? ??? ??? ??? ??? ??? ??? On General Dearborn invading Canada and taking possession of Fort George he sent off to Greenbush as prisoners of war the following respectable inhabitants : Messrs Edwards Murehead Dickson Lyminston Lawe two Kerrs M'Ewan Parson Addison Howell Heron Green Baldwin Clinch Jones Ball Decoe and John Crook. Messrs Lawe M'Ewen and the two Kerrs were wounded on the 27th June. General Dearborn expected that the inhabitants would have joined the Americans. General Dearborn resigned the command of the Niagara army on the 23th June on account of indisposition. General Lewis says in his dispatch to Secretary at War that he did not think the General would ever again be fit for service ; that the unfortunate events of the war had deranged his understanding ; and that thought sometimes in a state of convalescence he uniformly relapsed when military topics were alluded to. General Lewis having been nominated to command at Sacket's Harbour is succeeded at Fort George Niagara and on the Canadian frontier by General Boyd. The Indian chief Tecumseh has seized the favourable moment of the diversion by our shipping in Virginia for surround Fort Meigs with 2000 warriors. He had deprived the garrison of all the possibility of receiving supplies. General Clay who commanded there had written urgently to General Harrison for assistance. The latter was collecting his army to march to his relief. Sir James Yeo after the retreat of the enemy's army at Fort George swept the American side of Lake Ontario. He landed a body of troops at Great Sodus and took the whole of the provisions consisting of several hundred barrels of pork and flour and burnt the buildings. The British loss was a serjeant and four privates of the Royal killed. At Genessee River he inflicted the same loss on the enemy taking 500 barrels of pork and 1700 bushels of corn. The provisions were delivered to General Vincent. Four companies of the Royals were embarked on board the fleet to serve as mariners There were at Quebec on the 22d July 1000 American prisoners of war captured since the commencement of the campaign. At Beaufort there were 50 officers including three General. In consequence of the conduct of the American Government and of the officers the latter are no longer permitted to return home on parole. The Melpomene frigate with De Meuron's regiment from the Mediterranean arrived in the river St. Lawrence on the 20th July. James Gready private in the 8th or King's regiment and Terence Hunt private in the 6th foot were in the latter end of June tried by Court Martials for deserting to the enemy and being found in arms and were publicy shot at Kingston Canada pursuant to their sentence. It appears from the Quebec papers and from the general orders issued by the Commander in Chief in Canada that on the late defeat of General Wilkinson on the banks of the Miami river the American military chest containing 15000l. Sterling was among the property captured by the British. Captain Waugh of the 103d regiment died at Chamely on the 2d July. General Hampton has arrested Colonel Clark the late commandant at Burlington for a defalcation of about 50000 dollars.  
ID110,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1813,12,30,inform,By the Dunlop Captain Abrams arrived on Sunday last at Greenock from Quebec after a passage of 36 days papers and letters have been received from Canada to the 19th which contain an amount of an engagement between a detachment of the British force under Lieut.-Col. Morrison consisting of the 49th[?] and 89th regiments with some companies of the Canadian militia and a body of American troops amounting to 4000 men which ended in the defeat of the latter with great loss. This action was produced by the attempt of the American General to advance to Montreal from which it appears however he has now begun to measure back his steps having crossed to the American side of the river where the action was fought and being actively pur sued in his retreat by the British troops. The following information has been received by the Alexander Captain Henry which arrived at Liverpool on Tuesday:– Quebec Nov. 26. 1813 The enemy's whole force was about 8000 men under the command of General Wilkinson. The division commanded by General Boyd consisting of about 3000 to 4000 infantry cavalry &c. was alone engaged upon the 11th instant. The enemy lost in the action Brigadier Gen. Conington and Colonel Preston killed–probably 600 men killed wounded and taken. The consequence was a precipitate retreat across the St Lawrence at Cornwall on the 13th and evacuating the province. General Wilkinson marched his troops into the Straits the route of Plattsburgh leaving all his boats upwards of 300 in the Salmon river where they were frozen in on the 16th and 2000 men to protect them. Colonel Plenderleath came home in the Alexander with dispatches.  
ID111,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1814,03,19,inform,The following letter received in town gives a description of the wanton and barbarous conduct of the American army in destroying a settlement of the Moravian missionaries in their late irruption into province:– Yesterday I received a very afflicting account from North America by a letter from New York dated Dec. 27 1813 concerning a report of the total destruction of our settlement ??? ??? on the 6th of October by the American army under General Harrison. It was the consequence of the invasion of that province after the capture of the little fleet on Lake Erie and the defeat of the s[?]al British force under the [?] of occupying the Chapel and some other houses for our sick British soldiers and considering the danger the Christian Indians were in from the malice of the Americans it was his advice that the Missionaries and the Indian Congregation should retreat farther into the country. When the Americans were successful in the latter it became necessary to take steps of effect it. The British behaved very kindly to the brethren and offered to purchase the houses and cottages but their defeat prevented it. On entering the place the Americans first pretended to be friendly and sorry that the Indians had fled who had gone with Mr and Mrs Denke (one of the Missionaries) up the river. Mr and Mrs Schnall and the aged Missionary Michael Young remained. During the first night the Americans already changed their tone or rather showed their real character. They began to abuse the Missionaries with curses and all manner of insults plundering the houses ; and General Harrison to whom we appealed would grant no redress. They took every thing that was??? away ; and under a pretence that King's stores and English goods were lodged in the houses ransacked every place and every trunk and chest belonging to individuals. Commodore Perry who had defeated the Mosquito fleet on the lake was there and behaved rather better than the rest advicing the Missionaries to get away as fast as they could. They did so with difficulty and shortly after the Americans set the place on fire and burnt down the whole even every outhouse[?]. The poor Missionaries had a very tedious journey and reached Silitiz a settlement of the Brethren in Pennsylvania December 11. Whither the Christian Indians have fled is not known ; they had proposed to go to the Grand River about 100 miles off.  
ID113,Caledonian Mercury,Edinburgh,Scotland,United Kingdom,1814,09,12,inform,[Extracts of Letters from Quebec and Montreal.] Quebec July 15. The commercial world is flourishing here but in political matters I am sorry to say we are sadly in the back ground. The old defensive system is still adhered to and I fear much with all our reinforcements we shall do little good till we have another commander in chief. There is now a great body of regular troops in this country and a handful of brave fellows have recently been almost sacrificed par la petite guerre at Chippawa whilst in the lower province there are at least 10000 regulars doing nothing. Some of the officers of the regiments lately arrived from France do not conceal their sentiments– On inspecting one of the regiments the other day our chief took occasion as usual to make some remarks on the cut of the men's clothes when the Colonel commanding stepped forward and told him plainly that such systems were now completely exploded–that he had had the honour of serving very lately under a much more celebrated General that it was probable he would ever serve under again–that his men had been accustomed to fight not to dance ; and if such was the plan he was called on to follow he should certainly retire from the service. Such language you may suppose was not very pleasing to our Governor ; but I am happy to find that we now have military men amongst us who are not afraid to speak out ; as it appears the numberless representations of civilians are not much attended to. Montreal July 14. I consider this country now as perfectly secure against any attempts that the Americans may make not withstanding the system of our chief does not seem to be changed. He has received a great many more troops this year than he had any idea of and does not seem pleased at having so large a force unhis command as the country will now look to him for some offensive operation against the enemy. He has done nothing the whole summer but parade about 6000 men at Chambly where he makes them march past him twice a-week bowing and scraping instead of employing them where they ought to be. You will have heard of an American army of about 6000 under General Jacob Brown having crossed the river at Fort Erie when General Rial with a force of 1500 only gallantly assailed them but was overpowered by numbers and sustained considerable loss. I inclose a general order published yesterday about this unfortunate business whereby you will find that our loss has been great. Upon this frontier the Americans have hardly any force and it appears very singular indeed that so great a body of men as are now on the other side of the river from Sorel to Isle Aux Noix at least 10000 men should be left for the purpose of parade when they are so much wanted in the upper province. I sincerely hope that some investigation will take place into this business as it is really disgraceful to think that such an enemy should be able to make an attack upon us with impunity.  
