
            Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text,Keywords
        ID2,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,01,05,inform,The ship Nestor belonging to Glasgow seized several months ago by the officers of his Majesty's customs at this port for not being provided with a register according to Act of Parliament was condemned at a Court of Vice Admiralty held in Spanish Town on Friday last week. She was sold for 1500L. ,international trade;tariff
        ID3,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,01,05,inform,This morning some dispatches were received from Boston which were brought over in the Sally Capt. Walker from Liverpool. They are dated the 16th November and contain an account of the arrival of several ships from Newfoundland and some from Halifax; that provisions of all kinds were very plentiful and reasonable. ,postal service;agriculture
        ID4,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,13,inform,Our latest accounts from the West Indies say that no supply from the islands either of wheat or flour can possibly be obtained from the American states in consequence of the great bounties given by his Most Christian Majesty on these articles. Our charity therefore if we have any of these articles to spare must be first extended to our own Colonies ; and we cannot be surprised particularly when we consider the present price of bread at home that no assistance can be given at present either to the French or Dutch. The crops in the island of Jamaica promise a most plentiful harvest except to the eastward which ahs generally been considered as the most productive part. By the Westmoreland just arrived from Jamaica we learn that the slaves have become mutinous to an alarming degree ever since they were made acquainted with the intended abolition of the Slave Trade. ,slavery;international trade;agriculture
        ID5,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,20,inform,Extract of a letter from Quebec June 6. We are dreadfully alarmed at present on account of the great scarcity of flour throughout the province. Common flour sold this morning in the market at six dollars per cwt. bran from 7s. 6d. to 6s. oats 3s. per bushel and pease 20d. per bushel. There has been an account taken of the quantity of flour and wheat in this city and liberties by order of the Governor and Council and we find there is not more than will serve as ten days. They ar much worse off in the district of Montreal than we are here: We have sent them frequent supplies. Wheat which was found too bad to be shipped last year at three livres now sells at two dollars. One Merchant will make upwards of fifteen hundred pounds by this job. Government for the relief of the poor have caused to be issued by the contractor here rise at 3 d. per lb. no one to get more than a dollar's worth at a time. The day before yesterday there was delivered above a hundred pounds worth in this way. In consequence of letters by last Thursday's post from Montreal two thousand bushels of damaged wheat were shipped yesterday for that market. We have not had a grain of flour from England or the States though we hear of a cargo from New York for Montreal. The vessel was to call at New Brunswick ; and it is more than probably that people there being in great want themselves have detained her. The Government have done now what they should have done five or six months ago and then we should not be in this starving condition ; that is we are to have a proclamation to permit the importation of grain and flour from the States. My servant is just come home from the baker's where I had sent him for half a dollar's worth of bread. After watching for two hours till the bread came out of the overn he could get but eighteen-pennyworth ; three small loaves indeed weighing only two pounds each. Thirty-five shillings have been paid for ship biscuit. The Lord knows what will become of us–except Government will distribute some of the flour that is come for the troops in the Queen. Mr. Davidson one of the Council assured us on Thursday last there was not wheat and flour in the country for five weeks. He has taken a great deal of pains to be well informed on the subjuct; and to him are we indebted for the proclamation to allow the importation from the States. He stood forth alone and offered at his own expence to get an account taken of the quantities of wheat and flour in the town and liberties of Quebec and insisted on its being taken into consideration. ,agriculture;prices;international trade
        ID6,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,20,entertain,Cent is the only coinage the Americans have of their won. No less than 300 ton of them were contracted for by Congress in the year 1787 to be coined at the rate of 50 ton per annum ; the contracters were also bound down to make them all of the famous Jersey copper. They are a little larger than the British halfpence. No British copper no passes in the United States;–silver and gold coins of all nations however pass cur rent. The congress have not yet ordered a silver coinage. ,currency
        ID7,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,20,inform,Extract of a letter from a Gentleman in Bermuda to his friend in Norfolk Virginia dated April 2. By Captain Gilbert the bearer of this you will learn our distress for want of provi - sions: There has not been in the whole island one bushel of corn for sale for 16 days past. Capt. George from Baltimore brought in ???days ago two bushels of corn which sold immeddiately at 6s. 8d. per bushel; he also brought in 360 barrels of flour common and superfine which sold at eight and nine dollars per barrel. No vessel has arrived here with provisions since Capt. George; and no vessel belonging to the island is expected to relieve us. A great number of poor people have been for ten days past obliged to live on the greens of the field. Governor Hamilton by advice of his counsel has opened the port of Bermuda to all foreign vessels whatever for thirty days to be computed from the 30th day of March laden with bread corn; or flour. He also allows for three months the importation of salted provisions from any foreign port whatever in vessels belonging to these islands. IT is said what if any foreign vessel should come here after the time permited by proclamation they will be allowed to dispose of their cargo if they can prove they set out with an intent to come here. If any vessels be ready to sail from Norfolk with provisions advise them to call at Bermuda. ,agriculture;international trade
        ID8,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,07,06,inform,THE following extract from a late publication entitled A State of the present Government of the Province of Quebec will give the public some idea of the Canada Bill which has been so much talked of an procrastinated so long and at present pending in Parliament. The work we understand to be the production of Adam Lymburner Esq; set over by the province to negotiate this afair. It is remarkablewithhis former publication for its strong nervous elocution and perspicuity of reasoning. Liberty is congenial to the feelings of all mankind. The security which flows from a free constitution to both political and civil liberty contributes greatly towards bringing forth the powers of the human mind and the encouragement of the industry of people ; but no constitution can be called free where the people are not allowed to participate of the legislative authority by their representatives : This is the great criterion of freedom; and it is extremely natural for all British subjects as they know the value of it to struggle for such a valuable right. Great Britain has constantly acknoledged this prin ciple in the constitution she has granted to all her Colonies; and by that means has rendered them more flourishing and prosperous than those of o ther nations. Although the inhabitants of the province of Quebec have from the general tendency of the British government to a mild administration enjoyed a certain degree of civil liberty; yet they have been from the peculiar nature of the system of their government entirely deprived of all political liberty. A more full enjoyment of these essential privileges has been the prayer of their petitions and of those now be fore the House of commons. The objects prayed for may be reduced to the following heads:– 1. An elective house of assembly or representatives of the people. 2. That the members of the legislative council receive no salaries as counsellors. 3. That the habeas corpus act and the other laws of England relating to personal libertybe made a part of the constitution. 4. That trial by jury in civil causes be likewise made part of the constitution and that nine out of twelve may return a verdict. 5. That the ancient laws and customs of Canada relative to landed property marriage settlements inheritance and dowers be continued in force in the districts or ,international trade
        ID9,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,21,entertain,Curious Anecdote.–A few days ago a stranger waited on Mr. Sibbly Treasurer of the East India Company and desired to speak to him in private ; when the were retired the stranger said to Mr. Sibbly I am lately returned from India I have smuggled goods to the amount of about 120l. What duty have I to pay upon them? Mr. Sibbly smiled and told him That he could receive no such money without the Chairman's permission. Pray then (said the stranger) speak to him of it as soon as possible. I am resolved to pay whatever the duty is. The Company pays for the exclusive privilege of bringing India goods to Europe; the man that deprives them of any part of the advantages they hope to reap from it cannot in my opinion look upon himself as a strictly honest man. Since the stranger waited on Mr. Sibbly the Chairman had not had time to give him an answer ; the stranger notwithstanding gave him a letter including a Bank note of 30l. The sum Mr. Sibbly told him he should pay if he paid any thing. ,international trade
        ID10,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,21,inform,Extract of a letter from India by the Dublin East Indiaman to Mr. William Jones We left Patia Dec. 15 1789 and went to Decca and arrived there after a passage of 16 days. Just as we arrived there was a famine and it was really a shocking sight to behold; you could not move out of your house but the corpses lay in your way and the wild dogs and jackalls were eating them at noon-day. The Hindoos never bury their dead but burn them to ashes if they can afford it; if not throw them into the river. I have lately seen a man brought to the river side and laid down at lowwater mark before he was dead ; and when the the tide flowed it carried him off. If a man woman or child dies at night the corpse is eaten by the morning. This I have been an eye witness of ; for as I always rode out on horseback every morning I had an opportunity of seeing more than those that did not. In the course of six months I became so much used to it that I took no notice of it. I was there when a dreadful conflagration took place and burnt upwards of seven miles without intermission and many souls perished. Now consider first an inundation; second a famine; and third a conflagration. How much the place must be distressed I leave you to think. I left Decca the 1st of December last and arrived at Calcutta after a passage through the Sunderburns (in 17 days) hearty and well thank God. ,national characteristics;fire
        ID11,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,24,persuade,The old system of sending men of rank to govern Jamaica seems to be revived and laudably too. This island is the most important possession we hold in the West Indies and is well entitled to any mark of distinction which the parent country can bestow upon it. The salary and emoluments annexed to the government of Jamaica render it the most valuable of any in the King's gift except that of Ireland. Soon after the Restoration O'Brian third Earl of Inchiquin was appointed Governor of Jamaica and died in his Government. Henry Bentinck first Duke of Portland was made Governor of this island in the reign of George I. His Grace died at Spanish Town July 4th 1736 in the 45th year of his age. The death of these two Noblemen in their government gave so bad an impression of the climate of Jamaica and the insalubrity of its air that few persons of rank and fortune have been ambitious of becoming governors of it notwith standing the brilliancy of the appointments an nexd to the situation. ,colonial government
        ID12,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,24,inform,A letter from the Bay of Honduras dated May 26 says The Spaniards who pay an annual visit to this settlement to prevent en croachments are destroying all the cultivated spots on shore alleging that the settlers are prohibited by the convention from cultivation of any kind. This will prove a temporary misfortune to the woodcutters by depriving them of the principal means of subsisting their negroes and might be productive of mischief were it not that the British Superintendant Colonel Despar with the assistance of the Calypso sloop of war keeps the woodcutters in order. This may rise the price of mahogany at home and certainly will raise provisions here. ,border dispute;slavery;timber trade
        ID13,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,28,inform,Extract of a letter form Philadelphia dated 25th May 1789. I have travelled through several of the States and see no appearance of the poverty which you hear so much boast of in Britain–every where I meet rather with extravagance. Indeed they procure too easily to be frugal in their out-givings. All the manufactured goods imported from Europe are from Britain and they cannot have goods equal in quality and price from any other place. I think I never say so many children as are in this country every town village and farm-house are full of them.–The people of this country increase like rabbits: It is supposed they double their numbers every fifteen years; but I should think they do it in a shorter period.–What a grand prospect for the sale of British goods for when so many hundreds of millions of acres of land lye idle to be granted or purchased at a small price the people of this country never will manufacture ; At present wages are high and 1000 acres of land in the back settlements may be purchased for as many pence?. ,national characteristics;settlement description;wages
        ID14,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,28,inform,Government are now engaging 1800 tons of transports on contract to carry over the felons under sentence of transportation to Botany Bay. The victualling the convicts on the voyage is included in the contract. ,transportation
        ID15,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,03,inform,From Quebec June 10 we are informed Canada is at present greatly distressed; provisions extremely dear ; beef if good for any thing 5per pound ; mutton 7–d. butter 15d. The parishes in the upper country about Niagara and Montreal have been without bread for four months. There are orders now in town for as many goods for Quebec as will load ten ships; the trade being so exceedingly brisk and the people giving the preference to European goods. ,international trade;prices
        ID16,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,31,persuade,Lord M'Donald to his great honour adopted a most liberal plan of establishing at his own expence not only one but a number of free-villages on his extensive domains. By this plan proposed to his Lordship by Mr. Fraser the settlers are to have perpetual feus of the lands subject to a very moderate quit rent. His Lordship will by this means prevent the threatened emigrations to America and deserve the highest praises of his country. ,emigration and immigration
        ID17,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,08,07,inform,Yesterday some dispatches were received from St. Kitt's which were brought over in the Matthew Capt. Slegg arrived in the Downs which are dated the 10th of June : they contain an account of all the merchant ships which were then at that island ; that they were nearly full and were fixed to sail from thence the 26th of July and the first of August ; and that the weather continued exceedingly fine. ,international trade;shipping;weather
        ID18,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,09,21,persuade,A short DESCRIPTION of and REMARKS upon a new State called THE WESTERN TERRITORY being one of four settled by the Americans since 1774. T HAT no nation can serve the Americans with goods equal in quality and price to Britain is wha the whole world knows and from experience the most obstinate rebel American dare not deny: It is with pleasure therefore we inform our readers that the United States are paying more attention to agriculture than to manufactures–They have already laid out four new States since the beginning of their rebellion viz. Vermont Kentucky Indiana and The Western Territory. About seventeen years ago Vermont was a wilderness; they only began to settle it about the year 1774. Kentucky ten years ago lay in forest wild; it was settled in 1780. Yet so rapid has been the population that there are not less than one hundred thousand inhabitants already in each of these states. The State of Indiana was only laid off this present year in 1789 and contains but two or three hundred inhabitants. From a description of these four States published in America in May last we give our readers a short abridged description of the last of them called The Western Territory ; and it must rerejoice the heart of every Briton to read it and think that the settling of these countries though the Americans double their numbers every 15 or 20 years will long keep them from manufacturing and is every day opening a field for new customers to Great Britain; for who will work as a tradesman even though wages are very high when he can for twenty pounds purchase a thousand acres of land that being the present price fixed by Congress for lots of land in The Western Territory.–Hence the demand of our manufactures will continually increase with the increasing population of America.–Desponding politicians may derive comfort from the prospect that new channels of commerce will be opened and the inland parts of the Continent will require an increasing supply.–British manufactures will for ages ascend the great rivers of that Continent and by means of a most extraordinary inland navigation will be diffused through a country more fertile more extensive than all the Thirteen United States. The Western Territory Is the name given to this new State by Congress. It is bounded on the west by the Mississippi river –north by the Lakes–east by Pennsylvania? south and south-east by the Ohio river; contains according to Mr. Hutchins Geographer General to the Congress 411000 square miles equal to two hundred and sixty-three millions of acres from which he deducts forth-three millions of acres for water; there will then remain two hundred and twenty millions of acres belonging to the fed–ral government which is to be sold for the discharge of the debt owing to the United States. But a very small proportion of these lands is yet purchased of the native Indians and disposed of by Congress*. On the lands which have been purchased by Congress from the Indians two settlements are already commenced–one at Marietta the other at Miami. This State was only laid out by Congress in the end of the year 1787 and already contains above 8000 inhabitants. The principal rivers are the Mississippi Ohio Muskingham Hockhocking Sioto Miami Wobash&c–Coal and iron mines and salt pits abound in this State; the soil is excellent?as rich as can be imagined and may be reduced to yield plentiful crops with little or no labour. It is exceedingly healthy pleasant and commodious–the most fertile spot of earth known to the Europeans or Americans–exceeding the soil of any of the United States. The timber is tall and in great variety?Streams for mills abound here. Wheat indigo hemp and cotton thrive well. Many years will probably not escape before a good part of the country will be brought to that degree of cultivation that will exhibit all its latent beauties and fulfill the description of travellers who call it the garden of the world. It is here probably also that the center of a great empire will be fixed in some future period. It is the most centrical place for Congress to accommodate themselves at. No country is better stocked with wild game of every kind; herds of deers elks bears &c fill the extensive meadows of thie country?turkies geese swans and partridges &c. are innumerable. The rivers are excellently stored with fish and almost all navigable for small sloops. In the ordinance published by Congress for the government of this territory they are to be allowed an Assembly when their number amounts to 30000 persons; and when they acquire a certain degree of population they are to have representatives in Congress; and when fifty millions of acres are settled they are to be divided into States. Rejoice O Britons! that they must all be supplied with manufactures by you and you only! * No more than about twelve millions of acres have yet been purchased of the poor natives for which Congress gave them only eight thousand dollars value in goods and rum. ,Native Americans;international trade;agriculture;settlement description
        ID19,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,10,02,inform,There are no less than 130 women going out in the transports to Botany Bay; among the female convicts destined for this settlement there was one so beautiful that it was thought a pity to send her abroad and she is therefore preferred for home cultivation. ,transportation;Women--Great Britain;emigration and immigration
        ID20,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,10,09,inform,Continued from our last. Carlisle July 29. O N Saturday last between three and four o'clock P. M. happened the most violent hurricane pest or thunder storm (for we are at a lost to determine its proper name) that was ever known in this borough or its vicinity. We can conceive of nothing but an earthquake that could be attended with more alarming circumstances. The cloud from the west or rather a number of clouds of a lowering aspect furiously agitated broken and seemingly ready to fall– attracted the attention and prepared the mind in some measure for what was to follow. The lightening appeared to those who were at a distance remarkably red and seemed to flash from the cloud to the earth and back again in quick succession or some time as to appear one sheet of flame. This might have had a great effect on the air at some miles distance from town to set it in rapid motion especially when pressed down by a heavy cloud suddenly falling towards the earth. A very considerable quantity of hail fell; and the rain was so abundant that it seemed as thrown from buckets and being carried along and dashed against every opposing object by a most impetuous wind darkened the air in such a manner that all surrounding objects seemed lost in night. The storm threatened to lay the whole town in ruins with such irresistible force did the column of air move on: happily however the damages were much less than apprehended. The The new brick house belonging to the Rev. Dr. Davidson being an an elevated spot near the west end of the town and lying directly in the line of march of this powerful column was the first sufferer; all the parts of the building above the square were suddenly borne off and a great part of the roof was carried over Mr. Paton's house which stood at a small distance on the east striking it forcibly and injuring it greatly in its ways and fell on the adjoining lot. Mr. Paton's house is left in much the same condition as the Doctor's. After injruing some smaller buildings in its course to the eastward the next elevated object to which it pointed its fury was the presbyterian church in the certain of town–a building of uncommon solidity calculated it was thought to stand for ages admist all the war of the elements. About a fourth part however of the roof of the north side was carried off with the weighty cornice and thrown to the ground at some hundred yards distance on the east side of the open square which is in the centre of this borough. After leaving the town it beat its course to the public buildings and greatly injured that range nearest the town. Many fences in the neighbourhood which were in the line of its direction were also thrown down; but how far it extended or what damages the farmers may have sustained we have not yet learned. Let it however not be forgotten that dreadful as the scene was through the good providence of God not a single life was lost or any personal injury worth mentioning received and the buildings it is hoped will soon be restored to as good a state as they were in before. ,weather
        ID21,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1789,10,09,inform,Boston July 31. The building of an Indiaman goes on with rapidity and it is said will be launched about the 20th of October and is pronounced by judges to be an excellent piece of workshmanship. ,international trade
