
            Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text,Keywords
        ID59,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,01,01,persuade,of the scarcity of money and general distress at Calcutta. The multitude are out of employ and who cannot get into any situations by which they might support themselves is truly deplorable. If a place falls vacant a croud of necessitous candidates immediately urge their distresses and it is certainly a fact that for one appointment there are thirty Englishmen who would be happy to obtain it so many have gone out lately to India for whom there is no employment. ,economic migration;colonial economy
        ID60,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,01,04,inform,Boston October 26. Saturday between the hours of two and three arrived in town from New-York the PRESIDENT of the United States. The inhabitants of this metropolis have now the happiness to felicitate themselves on having among them the virtuous General who delivered their capital from the oppression of a British foe; and in the same person the magnanimous President of the United States of America.–The President left New-York on Thursday the 15th instant to visit the Eastern States attended ouly by his two private secretaries and servants– Actuated by the principles of a true republican Patriot and considing in the ardent affections of the citizens in the States through which he had to pass he had it in vic??? travel without the temporary parade which his dignified station might justly clam but wherever he came his merits were already known and the people with heartfelt joy and high approbation of his virtues saluted him the Defender of their Freedom and Independence. –The worthy Governor of this Commonwealth haivng an exalted estimation of the virtuous President and although much indisposed as to his health was determined to shew the President the honours of the government in a stile suitable to his dignity; accordingly he ordered the troops of Middlesex horse to escort him through that county and permitted General brooks to exhibit to the President on Cambridge Common as he passed a fine body of the militia of the 3d division consisting of about 1000 men all in complete uniform and equipment. The President was honoured with a salute as he passed them. The Governor requested the Lieutenant Governor and the Council to meet the President at Cambridge (and would have accompanied them himself hand his health permitted) whither they were escorted by col. Tyler's corps of the horse. The Lieutenant governor and Council met him there and preceded the President under the escort of horse and introduced him to the capital of the commonwealth. From the best accounts we are able to collect we present the following as the Order of Procession. The Independent company of Light Infantry commanded by Major Otis. The Independent Fusiliers commanded by Cap- tain-lieutenant Laughton. The Independent Cadets under the command of Major Scollay. Company of Artillery commanded by Captain Johnson. /Altogether commaned by Colonel Bradford. Music. Constables of the town. Deputy-Sheriffs. The Select-Men. Town-Clerk. Committee of Arrangements. The High Sheriff. the Council of the Commonwealth. The Lieutenant-Governor Marshal of Massachusetts District. The PRESIDENT on horseback; with his Suite. Overseers of the Poor. Town-Treasurer. Magistrates. Consul of Holland. The Reverend Clergy. Physicians &c. Lawyers. Merchants shopkeepers and Traders. Then followed the Artizans Tradesmen nufacturers &c. of the town in order with flags &c. On the President's arrival at the State-house he ascended a temporary balcony adjoining the gallery where were a select choir of singers who upon the President's appearance sang the following ODE to Columbia's Favourite SON. 1. Great Washington The Hero's come Each heart exulting hearts the sound Thousands to their Deliverer throng And shout him welcome all around! Now its full chorus join the songs And shout aloud great Washington. 2. There view columbia's favourie Son Her Father Saviour Friend and Guide! There see th' immortal Washington ! His Country Glory Boast and Pride Now in full chorus &c. 3. When the impending storm of War Think clouds and darkness hid our way Great Washington our Polar Star Arose; and all was light as day. Now in full chorus &c. 4. 'Twas on your plains they valour rose And ran like fire from man to man; 'Twas here thou humbled Paria's foes And chac'd whole legions to the main! Now in full corus &c. 5. Thro' countless dangers toils and??? Our Hero led us safely on– With matchless skill directs the wars 'Till Vict'ry cried–The day's his own! Now in full chorus&c. 5. His country sav'd the contest o'er Sweet peace restor'd his toils to crown The Warrior to his native shore Returns and this his fertile ground. Now in full chorus &c. 7. But soon Columbia call'd him forth Again to save her sinking fame To take the helm and by his worth To make her an immortal name! Now in full chorus &c. 8. Nor yet alone thro' Paria's shores Her fame her might trumpt blown; E'en Europe Afric Asia hears And emulate the deed he's done! Now in full chorus &c. After which the procession passed by the President under the gallery and then dispersed highly satisfied with the occasion of their assembling and fully participating in the joy of the day. The Independent Companies then escorted the President to his residence in Court-street–fired three vollies and then dismissed. In the evening the several public houses in State-street were illuminated the Coffee House Bunch of Grapes Eastern Coffee House &c. together which mad a beautiful appearance. Fire works were also displayed in the said street. Rockets were likewise thrown from the French ships in the harbour and from Castle William. Two French frigates L'Active and Le Sensible were delightfully illuminated the former with several hundred lamps judiciously arraign ed. It is supposed the number assembled upon the above occasion amounted to 24000 persons. No unfavourable accident happened during the whole scene–that we have heard of. The regularity and good order in the procession afforded to the marhals the highest satisfaction as well as to the numerous spectators. ,nationalism;songs
        ID61,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,01,04,inform,Boston October 9. Yesterday were executed William Donnoffee William Smith and Rachel Wall pursuant to their sentence for highway robbery. ,crime
        ID62,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,01,04,inform,October 31. We are informed by very respectable authority that Mr. M'Gillvry has written to the President of the United States a full and sensible account of the rise and progress of the disputes subsisting between the Georgians; from which statement he expected to prove to a demonstration that he has not acted the inconsistent part which some have alleged neither has there been such cruelties committed by the Indians. From Mr. M'Gillevry's abilities and considering he was educated in Europe being the son of a Scotchman and Indian women we have no reason to expect any savage cruelties from an of his people; but on the contrary it is rather to be presumed that his proposals which are contained in his letter to the President are of a rational nature and many probably bring about a final and an advantageous treaty with the United States. ,Native Americans
        ID63,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,01,04,inform,November 12. On Thursday last the Viscount de Ponteves gave a surperb entertainment and ball to a number of respectable ladies of gentleman of this town on board l'Illustre of seventy-four guns. The boats of the fleet the state yacht and barge received the company at Foster's wharf before 12 o'clock–and on the appearance of the first boat having ladies on board a signal gun was fired from l'Illustre and in an instant the squadron was beautifully arrayed with the flags of all nations. On arriving at the ship the company were very politely received by the Viscount and conducted to the state room–the marines saluting as the company passed them. At one o'clock the whole sat down to a table liberally spread with a profusion of luxuries and delicacies in a hall erected for the occasion which was very fancifully decorated. At the head of the table was a castle of pastry having thirteen metal guns by which from tubes that communicated through the table and the company were saluted with a f–deral dis charge. On the top of the castle waved a small white ensign–the device two hearts –the motto The United hearts of America and France. The head of the hall was ornamented with a heart pieced with arrows–and in the motton Homage to the fair daughters of America a fine compliment made by the noble Viscount to his female guests. After dinner the ball began and closed before nine o'clock and on departure his Excellency was saluted with thirteen rockets let off from a boat moored at some distance from the ship. Rhode Island and North Carolina yet remain averse to the new government; they refuse allegiance to all acts of the States and of course do not participate in any privilee; they are treated in respect to port entries &c. as foreign States. ,society
        ID64,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,04,16,entertain,No fewer than nine young ladies are going to the Market of Love in India on board the William Pitt ! What a disgrace to our young men at home ! ,Women--Great Britain;emigration and immigration
        ID65,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,07,12,entertain,By the last letters from India we understand they were going on in the plodding way with nothing new or important.–The markets are overstocked with British goods so as to enable our countrymen to supply themselves with most articles at a cheaper rate than if they were at home ; the credit of the revenue rather upon the increase ; Lord Cornwallis is as strict as ever who is expected to remain another year among them to the no small regret of those who left England for the sake of Oriental wealth. Our female adventurers have also found it a bad market ; British beauty never fails of finding its admirers ; but the late restriction in the East have rendered wives forbidden fruit of which neither civil nor military dare to think of tasting. ,international trade;prices;colonial government;Women--Great Britain;emigration and immigration;marriage
        ID67,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,07,12,entertain,Character of the Female Sex. By Mr. Ledyard a celebrated traveller. I have always remarked that women in all countries are civil obliging tender and humane; that they are ever inclined to be gay and cheerful timorous and modest : and that they do not hesitate like men to perform a generous action. Not haughty not arrogant not supercilious they are full of courtesy and fond of society ; more liable in general to err than man but in general also more virtuous and performing more good actions than he. To a woman whether civilized or savage I never addressed myself in the language of decency and friendship without receiving a decent and friendly answer. With men it has been otherwise. In wandering over the barren plains of inhos- pitable Denmark through honest Sweden and fro- zen Lapland rude and churlish Finland unprin- cipled Russia and the widespread regions of the wandering Tartar ; if hungry dry cold wet or sick the women have ever been friendly to me and uniformly so ; and to add to this virtue (so worthy the appellation of benevolence) these actions have been performed in so free and so kind a manner that if I was dry I drank the sweetest draught and if hungry I eat the coarse morsel with a double relish. ,gender
        ID68,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,07,09,inform,We have this day received Quebec newspapers down to the 24th May from which the following is extracted:– Quebec May 20. We hear late accounts from Niagara mention that the Indians in that quarter are much alarmed in consequence of a message said to be received by them from the States that they had now raised an army to take their own for Niagara and that two thousand men of that army were now on their way from New York–desiring the Indians to lye still and look on and that they would punish those that should interfere. It was also said that the people of New York were determined of themselves to lay open the post of Oswego and that emissaries had been employed to persuade the Indians they would be greatly benefited by that event. We are rather inclined to believe the Indians are too sensible of the great benefits already conferred upon them by our neighbours in buying their lands from them to think of accepting any more from that quarter and we would recommend it to the new-born Sovereignty on this side the Atlantic before they testify their impatience that national treaties like private agreements are not to be infringed by one and performed by the other party–Pay and you shall receive. As to the Americans making an attempt upon Niagara they have long had it in contemplation to get possession of our posts upon the lakes in Canada. May 24. The concerned in the ship Columbia and sloop Washington have received letters from the Captain Kendrick dated at Nootka in July last; he informs them that he passed the winter preceding on the north-west coast of America; that he was then bound on a voyage further northward and from thence intended to proceed to Canton.– The letters were forwarded to Mexico by a Spanish fleet that had been at Nootka and from thence to the Spanish Charge des Affaires at New York. They were covered to the President of the United States of America. From what appeared in our paper of Friday last (see Glasgow Intelligence p. 424 ) and what is mentioned above it seems very probable that the affair of Nootka Sound had been a preconcerted scheme between the Americans and Spaniards as Capt. Kendrick addresses his dispatches for the President of the States without making the least mention (from what is made public) of any British ships being then at Nootka Sound. ,Native Americans;United States--Relations--Great Britain;Great Britain--Relations--United States
        ID69,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1790,08,16,inform,By recent letters from America we learn that the Congress of the nited States after warm debates in both Houses particularly in that of the Representatives passed an act for the purpose of fixing permanently their seat of Government at German Town in Pennsylvania. The two new provinces in North America Kentucky and Vermont whose population already is so very considerable were formed by the vast numbers of inhabitants who fled from the destruction and ravages of the unhappy contest between Great Britain and her colonies and though the greatest part of them were then deemed loyalists yet they have now jooined the American confederation. Seated on the banks of the great river Mississippi far to the westward of all the other states they can either navigate northerly to the lakes or southerly to the Spanish settlements on the coasts of the Gulf of Mexico and carry on a lucrative trade with the Indians. They are possessed of as fertile a tract of country as any in the world the position of which they??? also s???d by navigable rivers to Maryland Virginia and Pennsylvania and from thence as their views???tend to every country in Europe. Thus from the most distressed situation to rise to opulence and independence ina few years must excite admiration. Agriculture at present seems to be the peculiar province of American industry from whence wealth will flow into every part of that vast country as it abounds in large tracts of rich land level grounds with a deep soil and extended savannahs; while to the northward the fisheries and shipbuilding amply compensate for the want of an equal fertility; and though not so abundant in coin yet the provinces produce the finest meadows form whence a provision trade will be every year increasing. The southern countries of Europe not affording sufficient crops of grain for the support of their inhabitants on account of the remarkable encrease of population and which is still augmenting as arts and manufacturers are every where extended: America may therefore be deemed in future the granary of this quarter of the globe. ,international trade;Native Americans;settlement description;colonial politics
