Article ID 	Newspaper Title 	Newspaper City 	Newspaper Province 	Newspaper Country 	Year 	Month 	Day 	Article Type 	Text
ID16 	Glasgow Advertiser 	Glasgow 	Scotland 	United Kingdom 	1789 	08 	31 	persuade 	Lord M'Donald, to his great honour, adopted a most liberal plan of establishing, at his own expence, not only one, but a number of free-villages, on his extensive domains. By this plan, proposed to his Lordship by Mr. Fraser, the settlers are to have perpetual feus of the lands, subject to a very moderate quit rent. His Lordship will by this means prevent the threatened emigrations to America, and deserve the highest praises of his country.  
ID19 	Glasgow Advertiser 	Glasgow 	Scotland 	United Kingdom 	1789 	10 	02 	inform 	There are no less than 130 women going out in the transports to Botany Bay; among the female convicts destined for this settlement, there was one so beautiful, that it was thought a pity to send her abroad, and she is therefore preferred for home cultivation.  
ID64 	Glasgow Advertiser 	Glasgow 	Scotland 	United Kingdom 	1790 	04 	16 	entertain 	No fewer than nine young ladies are going to the Market of Love in India, on board the William Pitt ! What a disgrace to our young men at home !  
ID65 	Glasgow Advertiser 	Glasgow 	Scotland 	United Kingdom 	1790 	07 	12 	entertain 	By the last letters from India, we understand they were going on in the plodding way, with nothing new or important.–The markets are overstocked with British goods, so as to enable our countrymen to supply themselves with most articles at a cheaper rate than if they were at home ; the credit of the revenue rather upon the increase ; Lord Cornwallis is as strict as ever, who is expected to remain another year among them, to the no small regret of those who left England for the sake of Oriental wealth. Our female adventurers have also found it a bad market ; British beauty never fails of finding its admirers ; but the late restriction in the East have rendered wives forbidden fruit, of which neither civil nor military dare to think of tasting.  
ID70 	Glasgow Advertiser 	Glasgow 	Scotland 	United Kingdom 	1790 	09 	17 	entertain 	A humorous Adventure of a Marriage negotiated by a Bill of Exchange, in one of the English West India Islands. A Merchant, originally from London, having acquired a great fortune in this island, concluded with himself he could not be happy in the enjoyment of it, unless[?] he shared[?] it with a woman of merit ; and knowing none to his fancy he resolved to write to a worthy correspondent of his in London. He know no other [?] than that he used in his trade ; therefore treating affairs of love as he did his business, after giving his friend in a letter several comissions, and reserving this for the last, he went on thus : Item[?], seeing that I have taken a resolution to marry, and that I do not find a suitable match for me here, do not fail to send me by next ship bound hither, a young woman of the qualifications and form following: As for a portion I demand none ; let her be of an honest family ; between 20 and 25 years of age ; of a middle stature, and well proportioned ; her face agreeable, her temper mild, her character blameless, her heatlh good, and her constitution strong enough to bear the change of the climate, that there may be no occasion to look out for a second through lack of the [?] soon after she comes to hand ; which must be provided against as much as possible, considering the great distance and dangers of the sea. If she arrives, and conditioned as abovesaid, with the present letter endorsed by you, or, at least, an attested copy thereof, that there may be no mistake or imposition, I hereby oblige and engage myself satisfy the said letter, by marrying the [?] at 15 days [?]. In witness [?] [?] I [?] [?], [?]. The London correspondent read over and over the odd article, which put the future [?] on the same footing with the bales of good he was to send to his friend ; and after adressing[?] the prudent exactness of the naturalized Creole, and his laconic stile, in enumerating the qualifications he insisted on, he endeavoured to serve him to his mind ; and after many enquiries, he judged he had found a lady fit for his purpose, in a young person of a reputable family, but no fortune ; of good humour, and of a polite education ; well shaped, and more than tolerably handsome. He made the proposal to her as his friend has directed, and the young gentlewoman, who had no subsistence but from a cross old aunt, who gave her a great deal of uneasiness, accepted it. A ship bound for the West Indies was then fitting out at Bristol ; the gentlewoman went on board the same, together with the bales of goods, being well provided with all necessaries, and particularly with a certificate in due form, and indorsed by the correspondent. She was also included in the invoice, the last article of which ran thus : Item, a maid of 21 years of age, of the quality, shape and conditioned as per order ; as appears by the affadavits and certificates she has to produce. Writings, which were thought necessary to so exact a man as the future husband, were an extract from the parish register ; a certificate of her character, signified by the curate ; an attestation of her neighbours, setting forth that she had for the space of three years lived with an old aunt who was intolerably peevish, and that she had not, during all that time, given her said aunt, the least occasion of complaint. And li[?]y, the goodness of her consitution was certified after [?] by [?] [?]. [?] [?] departure the London correspondent sent several letters of advice by other ships to his friend, whereby he informed him that per such a [?] he sent him a young woman of such an age, character, and condition &c. in a word, such [?] desired to marry. The letters of advice, the bales, and the gentlewoman came safe to the port ; and our Creole, who happened to be one[?] of the foremost on the pier and the lady's landing was charmed to see a handsome person, who having heard him called by his name, told him, Sir, I have a bill of exchange upon you, and you know that it is not usually for people to carry a great deal of money about them in such a long voyage as I have made ; I beg the favour you will pleased to pay it. At the same time she gave him his correspondent's letter, on the back of which was wrote, The bearer of this is the spouse you ordered me to send you. Ha, [?][?] ! said the Creole, I never yet suffered my bills to be protested, and I swear this shall not be the first : I shall reckon myself the most fortunate of all men, if you allow me to discharge it. Yes, Sir, replied she, and the more willingly, since I am apprized of your character. We have several persons of honour on board, who knew you very well, and who, during my passage have answered all the questions I asked them concerning you, in so advantageous a manner, that it has raised in me [?] for you. This first interview was in a few days after followed by the nuptials, which were very magnificent. The new married couple are satisfied with their happy union made by [?] of exchange, which was the most fortunate that had happened in that island for many years.  
ID84 	Glasgow Advertiser 	Glasgow 	Scotland 	United Kingdom 	1790 	11 	08 	entertain 	The Indian ships lately returned from Madras and Bengal, gives unfavourable accounts of all the branches of commerce, except that of matrimony, which has succeeded wonderfully in the last female exportations. Out of eleven ladies, who embarked on a marriage venture on board the Chesterfield, Captain Burgess, nine were connubially linked to weakly husbands within three months after their arrival and the other two were left in a way to complete this fortunate band of hymeneal adventu- rers.  
ID100 	Glasgow Advertiser 	Glasgow 	Scotland 	United Kingdom 	1794 	02 	14 	inform 	At four o'clock yesterday morning Mess. Muir, Skirving, and Margarot, were taken from their beds, without any previous notice, hand-cuffed, and put into a post-chaise, to be conveyed to Woolwich, where a vessel waits to sail with them immediately for Botany Bay. Mr. Palmer has, we understood, been sent from on board the hulks, in the same manner, to take his passage on board the same vessel. Between 10 and 11 o'clock, about sixty female convicts were put on board a vessel at Blackfriars bridge, destined to the same voyage. These latter behaved in a most turbulent manner and even fought in the hold of the boat. There were among them one or two well dressed women ; and what was more lamentable in the eyes of the spectator, some of had infants with them.  
ID121 	Caledonian Mercury 	Edinburgh 	Scotland 	United Kingdom 	1817 	07 	21 	entertain 	Emigration to America. [ Extracted from No.15 of Cobbet's Register, published on Saturday, 12th instant ]. Cobbett's arrival in America,&c. On Wednesday evening, the 27th March, we embarked on board the Importer, D. Ogden, master, bound to New York, where we arrived on the 5th of May, with about 40 steerage passengers, farmers, and tradesmen, who were fleeing from ruin and starvation. In all respects that can be named our passage disagreeable, and upon one occasion very perilous, from lightning, which struck the ship twice, shivered two of the masts, killed a man, struck several people slightly, between two of whom I was sitting, without at all feeling the blow. Some of our fellow-passengers have found great disappointment ; and, it is stated in some of the public papers here, that many hundreds have, during the last year, accepted of the offer of our Consul at New York to go and settle in Canada. You know that I have never advised any body to emigrate. I have always said that it is no place for manufacturers ; no place for men to live without work ; no place for a farmer who does not work himself ; no place in short, for any one who is not able and willing to work at the ordinary sorts of work ; but for such men there is every where a plentiful, happy, and easy life. None should come, however, who have any views of idleness ; and even for the industrious poor, I see no reason why they should expend their last shilling, and undergo all the miseries and dangers of a sea voyage, in order to save those who eat the taxes the expence of their share of poor-rates ; a man and his wife and a child or two cannot come under the expence of 35 guineas, at least. A single man 20 guineas, before he gets into work again ; and, as I always said, I never would, if I were in the place of such a man, expend my earnings on a sea voyage, and endure all its hardships, in order to remove one eye sore out of the way of corruption. Besides, there is the climate, which is not so good as ours, though it is not bad, and people often live to an old age. The country is good, but it will easily be conceived, that new face, an entire new scene, a separation from every friend, work done in a quite different way from it is in England ; it will easily be conceived, that all this makes such a dislocation in a man's mind as to make him very unhappy for a while. Then, he cannot expect to find work the first day. He must ask first, at any rate. Englishmen are sheepish ; and, they are sure to find rascals enough here to foster their disgust, merely for the sake of serving the cause of corruption at home. In short, I advice nobody to emigrate, but I will truly describe the country and the people. As to emigrating with a view of settling and farming in the new countries, it is neither more nor less than downright madness. It is what our English farmers know nothing at all about ; it is what they are not at all fit for ; and the far greater part of all such spe culations end in disappointment, if not in ruin and premature death. I hope that our beloved country will shortly be fit for an honest and industrious man to live in ; but if any farmers come with money in their pockets, my advice is, not to give way either to enthusiastic admiration, or to instant disgust. But, to stop a little ; to look about them ; to see not only after good land, but a good market for its products. The western romance writers tell us, that the land in the Ohio is too good ; but Mr Mellish, in his valuable book, tells us, that beef and pork sell for three halfpence a pound. An excellent country for people who want to do nothing but eat. – Give me Long Island, where the land is not too good ; but where beef and pork sell for about eightpence a pound (I speak of English money); where good hay sells for five pounts a ton ; and where there is a ready market for every species of produce. One thing above all ; if an English farmer (I mean by English, people of the whole of the United Kingdom) comes here, with money in his pocket, let him resolve to keep it there for a year, and then he will be sure to do well. – All that I see around me here is well calculated to attract the attention and to please the sight of one, like myself, brought up in the country, always greatly delighted with, and somewhat skilled in, various pleasing and healthful pursuits. The The people are engaged busily in planting their Indian corn. The cherry trees, of which there are multitudes, planted in long avenues or rows, or round the fields, have dropped their blossom and begin to show their loads of fruit. The apple and pear orchards, in extent from one to twenty acres on each farm, are in full and beautiful bloom. The farms are small in extent ; no appearance of want amongst the labourers, who receive, in the country, about two shillings and threepence (our money) a-day, with board and lodging, and which board consists of plenty of excellent meat and fish of all sorts, the best of bread, butter, cheese, and eggs. That you may form some idea as to prices of living, I will state a few facts, which have already come within my own knowledge. We are at present at an inn, thirteen miles from New York. It is on the road to that city. Scarcely an hour in the day passes without a carriage of some sort offering for going thither, and to go by the regular stage costs three shillings. Mind, I shall always speak in English money, when I do not speak of dollars. We lodge and board in this inn, have each a bed-room and good bed, have a room to sit in ourselves ; we eat by ourselves ; and it really is eating. – We have smoked fish, chops, butter, and eggs, for breakfast, with bread (the very finest I ever sa), crackers, sweet cakes ; and when I say that we have such and such things, I do not mean that we get them for show, or just enough to smell to ; but in loads. Not an egg, but a dish full of eggs. Not a snip of meat or of fish ; but a plateful. Lump sugar for our tea and coffee ; not broke into little bits the size of a hazle nut, but in good thumping pieces. For dinner, we have the finest of fish, bass, mackerel, lobsters ; of meat, lamb, veal, ham &c. ; asparagus in plenty ; apple pieces (through in the middle of May). The supper is like the breakfast, with preserved peaches and other things. And with all this an excellent cyder to drink, with the kindest and most obliging treatment, on the part of the landlord and landlady, and their sons and daughters, we pay no more than 22s. 6d. a week each. In England the same food and drink and lodging at an inn would cost us nearly the same sum every day. But there are two things which no money can purchase any where. The first is, no grumbling on the part of the landlady, except on account of our eating and drinking too little ; and the other is, that Mr Wiggins has no fastening but a bit of chip run in over the latch of the door, to a house which is full of valuable things of all sorts, and about which we leave all our things much more carelessly than we should do in our own house in any part of England. Here, then are we able to live at an inn, one of the most respectable in the whole country, at the rate of fifty pounds a year, while the pay of a common farming man is not much short of that sum.  
ID122 	Caledonian Mercury 	Edinburgh 	Scotland 	United Kingdom 	1818 	01 	01 	inform 	Emigration The authenticity of the following details of the miseries endured by some German emigrants proceeding from Amsterdam to America is, we are told, guaranteed ; otherwise they are almost too shocking to admit to belief : Libson, Nov. 4 We have just been witnesses here of an event which has renewed those gloomy reflexions which the friends of humanity have indulged ever since the commencement of the emigration from Germany and Switzerland to America. We have deplored the error which led so great a number of unhappy persons to expartiate themselves in the hope of finding a happier lot upon the shores of the new world. But it is less to the blindness of the victims of this error, than to the abominable speculations of cupidity that we are to attribute these numerous emigrations. the misery of the people of Germany and Switzerland, occasioned by a superabundance of population, and by the bad harvests of late years, serves for aliment to the avarice of certain men, who seek to establish criminal projects upon bases almost as obnoxious as those of the former slave trade. Such calculations deserve the attention of Governments, and it is with this view that we think is our duty to make known the fate of an expedition of this kind, fitted out at Amsterdam last August. But we shall first transcribe, from the original, the article of the charter party relative to the power reserved by the Captain over the persons of the passengers, as inlcuding stipulations which are most characteristic of the nature of that odious traffic :– We passengers, promise to fulfil faithfully the following conditions:– With respect to the price of the passage above stipulated, for so much as we have not yet paid, we engage to gain by our labour in America, what we owe, and we who owe the whole amount of our passage are bound, if required, and if we are unable to find better conditions, to hire ourselves for four or five years, in order to pay for our passage ; and we who have only paid for a part of our passage, equally promise to let ourselves out to work for the same time for the sum we still owe. We promise besides, we passengers, men or women, fathers or mothers, children and families here assembled, the children for their parents, the parents for their children, the brother for his brother, and the sister for her sister, when we shall find an opportunity to employ ourselves in America, to engage ourselves in service, and to answer for one for the other one for all the others, whether he be of our family or not, so that the price of the passage be diminished or augmented as much as shall be necessary, until we all and our families have employment, and the captain be no loser by us ; knowing very well that we passengers who have children, a family, brothers, and sisters, ought all to sumbit to our wives or husbands, our children, our brothers, our sisters, being sent separately to whatever place, in order to gain, in private service, profession, or labour, or in any manner that shall be deemed best, the price of our passage ; and in order that we may not in any case refused the engagements proposed to us, or contract others without the permission not knowledge of the capain, it is agreed for those who have not yet paid for their passage, for those who still owe part, and for those who cannot find an engagement, that they must consent to me, the captain, carrying them to such place in America as it shall please me, and wherever I may find it expedient to proceed, or wherever it may suit me to sail. These horrible conditions were signed by 300 passengers. They had contracted with the Captain of a Dutch ship, which was to proceed first to Baltimore. She in the worst state when she sailed from Amsterdam, and in defiance of the clauses of the contract, by which the Captain had engaged to feed them properly during the voyage, he had not even embarked the necessary quanitity of provisions ; for, after 62 days navigation, the leaks had so gained upon the ship, that she was in danger of sinking, and famine had already made frightful ravages. It was at the end of that time, and in this deplo rable condition, that she was forced into Belem, near Lisbon. Long before her arrival on our coasts, the passengers had been reduced to the greatest misery, not more by the small quantity than by the bad quality of the provisions. The water was gone, and sea-water was their only drink. So much had they been wasted, that forty had already died of famine. Among the rest there were a great many sick, some of who have died since their arrival in Portugal. The situation of the vessel had at first given great alarm to our Council of Health, who, apprehensive of contagion, were for an instant fearful that it would be necessary to force her out to sea. That would have been a misery so much the more formidable, because the ship was not in a state to keep the sea, and all must infallibly have perished. Happily this was deemed unnecessary, and a quarantine was ordered. The Regency of Lisbon determined that provisions and other succours should be furnished at the expence of the State. All the Consuls were most active and benevolent in affording assistance. Such was the result of the expedition. Many others have, no doubt, answered as little the expectations of those who, seduced by deceitful promises have emigrated to America in search of happiness which they could not find, abandoning their country, their parents, and their friends. In July, a Hamburgh ship, with 106 Swiss passengers, was at Lisbon, in nearly the same distress with the Dutch ship. It is said here that there is a company in Holland which has numerous agents to seduce men to emigrate. It heaps them pell mell on board ships, and if they reach their destination, they are soon con vinced of the fallacy of all their hopes. It would be a desirable thing for papers, in countries where these emigrations are excited, to insert the article relative to the charter party, given above, in order that the simple and credulous may see what they have to undergo.  
ID125 	Caledonian Mercury 	Edinburgh 	Scotland 	United Kingdom 	1818 	01 	19 	inform 	Irish Emigrants. New York, Nov. 27. Nothing scarcely can be conceived more distressing than the situation of an unfriended stranger arrived here, from across the Atlantic, without the means of helping himself, and without even enough of acquaintance with the men and things about him to enable him to judge what path he should take to secure him the miseries of absolute want. Such, however, is actually the situation of hundres who annually land on our shores. To provide for those forlorn beings, several attempts have been made by associations of humane individuals here, but nothing hitherto has appeared to promising as that of which an account here follows: – At a meeting of Irishmen, and descendents of Irishmen, held at Harmony Hall, on Tuesday the 25th instant, for the purpose of promoting a Settlement of Irish Emigrants; Andrew Morris, Chairman, WM. Sampson, Secretary ; Upon the motion of Thomas Addis Emmett, the circular previously issues on this subject was read by the Secretary : – Circular It is a sentiment long felt, and often expressed, that something should be undertaken on behald of the emigrants who flock to these shores. Without any fixed destination, they remain in the sea port, until beocming victims of bad counsel and bad example, they lose the pure and honest energies with which they left their native land, and suffer worse than shipwreck in their moral qualities. The Government of this great Republic is well aware of the advantage to be derived from so great a mass of laborious industry, when usefully directed and employed–and of adding to the nation's strength, men whose attachment to the institutions of this country is assured by so many ties. But it is in the order of things, that some of the friends, particularly the countrymen of these emigrants, who have been some time established and known, should come forward to attest the necessity, and guarantee the solidity of the enterprise. If his has not been done sooner, it is because every advance in social improvement must come in its season. it is the ripeness of the occasion, and the voice of the times that now speak. It has been remarked that among the lands nows open for sale and settlement, there are some tracks, particularly in the Illionois territory, where the Irish emigrant, with the instruments to which his hands are accustomed, and in a climate congenial to his habits, might procure to himself immediate shelter and subsistence–and, in a few years, be able to repay with gratitude the benefits conferred on him. We, whose names are undersigned, have met to consult upon the means of promoting some establishment that might be a rallying point for the distressed, and give to the wanderer a habitation and a home. We have thought of no better way than to address, by this circular, the friends and well wishers of Ireland, who co-operation might give most weight to the measure, and to submit, whether it might not be advisable to join all our efforts, and petition Congress early in the ensuing session, for a grant of a suitable track, upon a credit of 14 or 15 years, subject to such conditions and modifications as the Government may see most fitting. to the Government we would offer no deceptive, delusive, or precarious motive, rather chusing to make its wisdom, benignity, and patriotism, the anchor of our hope. We request of our, if you approve of our sentiment and of our project, to advance and promote it by your best endeavours ; either by forming organized associations, or by obtaining individual signatures, to a petition to the effect stated. We have not yet been able to digest a plan, and have rather chosen to make this humble beginning, in hopes that we should soon receive additional light upon the subject from cor respondence we solicit. We shall, nevertheless, proceed to investigate the subject, and challenge the co-operation of good and respectable men, and request of you to do the same. You will please address your answers, and any future correspondence, to Mr James Moffit, No. 15. Frankfort Street New York. Thomas Addit Emmet. Denis M'Carthy, William Sampson, John R. Skiddy, James R. Mullaney, John Meyher, William James M'Neven, Cornelius Heeny, Matthew Carroll, Robert Swanton, James Moffit. New York, Nov 18, 1817 Mr Emmet then stated, that he had been requested by the gentlemen who called this meeting, to explain the objects for which it was convenued ; that it could not be necessary to expatiate before those he was now addressin, on the situation of the peasantry and farmers in Ireland ; it was at present one of unqualified misetry, partly occasioned by their local oppressions, and partly by the general calamities of Europe ; it compelled them to fly to these shores in such numbers, and under the pressure of so great poverty, that the most active individual benevolevence could neither provide them with a sufficient present succour, nor procure for them, within a reasonable time, the means of permanent settlement. The consequence was, that many of those unfortunate strangers were totally lost to this county, or forced by want to become noxious and dangerous to its cities, whose original dispositions and qualifications, if rightly directed and employed, would have made them valuable and useful members of the community. Besides, the accounts transmitted back to Ireland of their disappointments and destitute situations, deferred many who were suffering at home the extreme of wretchedness, from endeavouring to better their condition in this more fortunate and favoured land–to the political institutions of which they were also more strongly attached. A very painful reflection on these circumstances had suggested to come gentlemen then present the hope that the general Government might be induced, by a strong and united application, to grant a portion of its unsettled lands on terms liberal and bountiful, so that an asylum might be formed for industrious and enterprising farmers, who would gladly fly from famine and persecution to a spot where the sweat of their brows falling on a fertile soil would yield them a rich harvest, for their own exclusive benefit, and where they might peacefully enjoy all the blessings of that republication liberty they loved. The time for making such an application seemed auspicious ; party asperities had softened fown, and probably few would now be led by political prejudices to give it opposition. Neither was it unprecedented ; a favour nearly similar had been granted to the French emigrants, and to settlers from Switzerland. It is true we could not forth a pretence like the cultivation of the vine or the olive ; and we would not succeed by practising any delusion. We could offer nothing but an immediate accession of industrious and hardy settlers, who in a congenial soil and climate would become enthusiastically attached to the country and the Government from whence they derived all their blessings, and, wherever they were found, would form a barrier against every enemy. Much might undoubtedly be expected from the generous sympathy which the sorrows and sufferings of Ireland had everywhere excited in the United States, and from the acknowledged liberality of its Constituted Authorities ; but very forcible arguments might also be addressed to its policy and interest. Not only those that in the ordinary course of events would arrive here, whose usefulness is lost by the want of proper direction, and who become burdens or scourges to our cities, would be rescued and placed in a situation where all the energies of active and enterprising minds would be serviceable to themselves and the community ; but also the very fact that such an asylum was open and accessible, would infinitely increase the amount of emigration from Ireland, and people our wildernesses with incalculable rapidity. The place upon which we have fixed our eyes is in the Illinois territory–it has been lately purchased, and is not yet even surveyed. In the ordinary course of events, it is not likely to be brought into market (at least to any extent) for many years ; but if Congress listen to our application, and grant to the settlers an extended credit, Government will receive payment for the land probably as soon as if it were suffered to remain unheeded till its regular turn for sale came round. A large body of settlers will be enabled to grow rich during the time that the land would otherwise be waste and unproductive, and the value of all the contiguous property belonging to the United States would be rapidly and immensely increased, to say nothing of the advantages resulting from the strength of such a settled frontier. All these considerations may be strongly urged by men, who can most truly say they are actuated by no views of personal speculation or emolument ; who are willing to enter into all the labour of procuring settlers and organising the establishment, without any prospect of gain, or even compensation, except as to what may be necessary for defraying the expences of the undertaking ; and who are desirous that the actual settlers should enjoy all the advantages which Government may be willing to grant. These are our views–we conceive that they may be realized, if supported by an united and active co-operation of those who think like us in other parts of the Union. We are, therefore, desirous of adopting and pointing out to others what seems to be the best mode of giving system to that co-operation ; namely, the formation of societies totally divested of all party or political feelings, and directing the attention only to this object. There are already a sufficient number of political institutions in every State, in which the zealous partizan (be his opinions what they may) can act on them to their fullest extent. Let these societies be neutral groun, or rather consecrated places, in which, when we meet, we lay aside all our hostilities, and join as brothers in our prayers and offerings at the shrine of our common worship. They are consecrated to every man amongst us, by the purity of their object, by our earliest recollections, by our unbroken affection, and our strongest sympathies– by the unextinguished love of our native land, for which most of us have already renounced all sectarian antipathies and religious animosities ; which we offer as a solemn pledge to the country of our adoption, that our hearts will be always alive, from temperament as well as prin ciple, to the emotions of patriotism ; and that those amongst us who have pledged their faith to her, however they may seem to differ on some minor political subjects, will always be found firmly ranged and united under the same banners, and forming one phalanx whenever her more important interests are concerned. Mr Emmet then moved four resolutions, which being severally put, were carried with some slight amendments as follow :– 1. Resolved–That it is expedient to form a Society of Irishmen and descendents of Irishmen, for the purpose of endeavouring to procure from Congress a track of land in the Illinois territory, to be settled by emigrants from Ireland. 2. Resolved–That every person of the foregoing description, who shall, on or before the second day of December next, pay to the Secretary of this Meeting the sum of five dollars, shall be entitled to become a Member of the said Society, until the number of subscribers shall have amounted to one hundred, after which time the subscribers shall be at liberty to elect their own officers and no person shall afterwards be admitted except by ballot. 3. Resolved–That it be recommended in Irishmen, and the descendents of Irishmen, in the other cities and towns of the Union, to form similar societies for the purpose of corresponding and co-operating with that which is about to be formed in this city. 4. Resolved–That, as the meeting of Congress will shortly take place, and in order to prevent the less of time, a Committee of fifteen be appointed to prepare the outlines of a memorial to that body, to be submitted to the consideration of the Society, when formed and organized ; and also to adopt such measures as they may think expedient for promoting and accelebrating the organization of that Society. Mr John W. Mulligan, in seconding Mr Emmet's motion, expressed, in handsome terms, how much he was gratified by the invitation to attend, had given him the opportunity of claiming his title of descendent of an Irishman. A Committee was then appointed, pursuant to the fourth resolution, the number being, upon motion and discussion, augmented to twentyone. Committee –Andrew Morris, Thomas Addis Emmet, William Sampson, John W. Mulligan, Thomas Kirk, James Moffit, Robert Swanton, Matthew Carroll, William James M'Neven, Captain Skiddy, Dennic M'Carthy, John Meyher, James M'Bride, Cornelius Heeney, William Paterson, Colonel Mulaney, David Bryson, Captain O'Sullivan, James J. M'Donnell, Dennis H. Doyle, James Hayes. A subscription paper being then opened, a number of those present subscribed their names and paid five dollars as their initiation fee, and became members of the association. Those persons who wish to become original members may do so by signing their names and paying their subscription to the Secretary before 2d December, pursuant to the second resolution. After the meeting was adjourned, the Committee organized itself, and appointed Sub-Committees, to report a draft of a constitution and a memorial to Congress, and for the discharge of other requisite duties.  
